ntrio s.gamma s.pi e.gamma e.pi m1
10000 13.5 0.055 15.3326787929565 0.0494547485614381 MCMC
10000 13.5 0.09 14.8072635698218 0.0825320712097951 MCMC
10000 13.5 0.125 15.0827222843049 0.112524144444908 MCMC
10000 15 0.02 16.4448914241289 0.019739797891605 MCMC
10000 15 0.055 16.4751170627901 0.0509004045237757 MCMC
10000 15 0.09 16.2708076972309 0.0827426214347808 MCMC
10000 15 0.125 16.4618020367239 0.11442812273197 MCMC
10000 16.5 0.02 17.8493138846559 0.0193599266451807 MCMC
10000 16.5 0.055 17.9197614091835 0.0515439704624897 MCMC
10000 16.5 0.09 17.864034233 0.0826314272962407 MCMC
10000 16.5 0.125 17.8086391604862 0.115856996701698 MCMC
10000 18 0.02 19.2715843048262 0.0180524031706104 MCMC
10000 18 0.055 19.1677829040438 0.0497268220590318 MCMC
10000 18 0.09 19.3120409566129 0.0828466540776807 MCMC
10000 18 0.125 19.187334860088 0.115784020770514 MCMC
10000 19.5 0.02 21.0896476126973 0.0186775951839427 MCMC
10000 19.5 0.055 20.713435942497 0.0513853603027078 MCMC
10000 19.5 0.09 20.4549198976684 0.0843494678701562 MCMC
10000 19.5 0.125 20.6421376815095 0.116984864654116 MCMC
10000 21 0.02 22.2648632756045 0.0187048731432728 MCMC
10000 21 0.055 22.2371844444289 0.0508955668485849 MCMC
10000 21 0.09 21.916679845275 0.0847746644937843 MCMC
10000 21 0.125 22.0231292784253 0.117268350568584 MCMC
10000 22.5 0.02 23.8411747644506 0.0184549245849632 MCMC
10000 22.5 0.055 23.2771813814476 0.0518629861131899 MCMC
10000 22.5 0.09 23.5854726654754 0.0841791592620204 MCMC
10000 22.5 0.125 23.4386566596735 0.118176037987929 MCMC
1024 1.5 0.02 1.33434140810932 0.328796370429677 MOM
1024 1.5 0.055 1.23981064405687 0.431545236188952 MOM
1024 1.5 0.09 1.27636163441079 0.467574059247398 MOM
1024 1.5 0.125 1.28999229455436 0.480918067787563 MOM
1024 3 0.02 1.62161022067237 0.0352281825460368 MOM
1024 3 0.055 6.17494997076941 0.0285561782759541 MOM
1024 3 0.09 5.7155721946648 0.0645850013344009 MOM
1024 3 0.125 1.8261220819833 0.214037896984254 MOM
1024 4.5 0.02 1.90084120481006 0.0886042167066987 MOM
1024 4.5 0.055 1.89592530336831 0.0992794235388309 MOM
1024 4.5 0.09 2.02440148436823 0.147317854283427 MOM
1024 4.5 0.125 3.90952243001954 0.182012276487857 MOM
1024 6 0.02 2.01137260492589 0.0752602081665332 MOM
1024 6 0.055 6.865637468462 0.0632506004803843 MOM
1024 6 0.09 5.67392706105894 0.0886042167066987 MOM
1024 6 0.125 6.36405611476116 0.117961035495063 MOM
1024 7.5 0.02 2.06592747132599 0.0779290098745663 MOM
1024 7.5 0.055 4.23464270764499 0.137977048305311 MOM
1024 7.5 0.09 6.98763785112838 0.096610621830798 MOM
1024 7.5 0.125 5.78745270472333 0.195356285028022 MOM
1024 9 0.02 2.35337645202363 0.0365625834000533 MOM
1024 9 0.055 3.9772677367609 0.157993061115559 MOM
1024 9 0.09 7.38051221536549 0.117961035495063 MOM
1024 9 0.125 8.24804338668275 0.155324259407526 MOM
1024 10.5 0.02 11.4020307488494 0.0272217774219375 MOM
1024 10.5 0.055 8.36897229845809 0.0645850013344009 MOM
1024 10.5 0.09 9.00947593990916 0.0939418201227649 MOM
1024 10.5 0.125 9.32790594445181 0.133973845743261 MOM
1024 12 0.02 2.81672291568498 0.0645850013344009 MOM
1024 12 0.055 11.626241285391 0.0565785962103016 MOM
1024 12 0.09 12.2395405352007 0.0886042167066987 MOM
1024 12 0.125 11.4834076683464 0.128636242327195 MOM
1024 13.5 0.02 4.55268273981591 0.0805978115825994 MOM
1024 13.5 0.055 9.88545886130548 0.0752602081665332 MOM
1024 13.5 0.09 12.4223092114739 0.104617026954897 MOM
1024 13.5 0.125 14.3616268952762 0.120629837203096 MOM
1024 15 0.02 15.4919593505938 0.0245529757139045 MOM
1024 15 0.055 14.0786672855949 0.0592473979183347 MOM
1024 15 0.09 15.9269785740265 0.0779290098745663 MOM
1024 15 0.125 14.8550614410639 0.128636242327195 MOM
