Gene dn_silentCFPK dn_damaging dn_lof mut_silentCFPK mut_damaging mut_lof caseData1 caseData2 caseData3 controlData1 controlData2 controlData3 BF_dn_silentCFPK BF_dn_MiD BF_dn_lof BF_cc_MiD_lof_pop1 BF_cc_MiD_lof_pop2 BF_cc_MiD_lof_pop3 BF qvalue
URB2 0 0 1 1.11606e-10 4.35967e-06 2.72621715123396e-06 1 2 2 1 0 3 0.999999947881432 0.995855420350461 11.3938759490653 0.987484009068443 2.05544352458945 1.03490993230173 23.8344936935545 0.206834607029789
HSPA8 0 0 1 1.11606e-10 6.73647e-06 1.3332149772783e-06 2 0 0 0 0 0 0.999999947881432 0.993609677050439 11.8234365144797 2.02750376044662 0.98660872036582 0.999384216387138 23.4854355086497 0.216965776897792
KLHL17 0 0 1 1.66245e-05 7.56548e-06 1.66576253609659e-06 4 0 1 2 0 2 0.992297041854847 0.992828656098736 11.7192932511588 2.00233699482622 0.98660872036582 1.01198372962338 23.0819806909734 0.225833162826637
ST3GAL6 0 0 1 1.94208e-06 1.87384e-06 1.24112192288599e-06 3 1 0 0 2 2 0.999093902873612 0.998214581746317 11.852456846189 3.00671168835958 0.611876160832365 0.982564003058375 21.3675519948256 0.234672246647675
SHANK1 0 0 1 4.0649e-05 1.04146e-10 4.98677339201868e-06 2 0 0 0 0 0 0.981376041706644 0.99999990059917 10.7328689822471 2.02750376044662 0.98660872036582 0.999384216387138 21.0567014905747 0.242555411576666
EPHA5 0 0 0 1.11606e-10 9.79433e-06 2.35428337041226e-06 4 5 1 1 0 1 0.999999947881432 0.990734646182375 0.944710831474879 2.96474745464592 7.3969828570633 1.02122969537149 20.9614815200515 0.249517913702886
LPHN2 0 1 1 1.11606e-10 1.25611e-05 3.81632071254128e-06 3 0 0 2 0 4 0.999999947881432 1.42125336032114 11.0696913452632 1.39377147895099 0.98660872036582 0.96680150783437 20.9161060711 0.255690456681208
NIPBL 0 0 1 1.11606e-10 1.04532e-05 8.48459132581735e-06 1 1 0 0 0 0 0.999999947881432 0.990117256239878 9.79170555253925 1.39641941261819 1.40206218835785 0.999384216387138 18.9697057038432 0.262435710997616
KDM5B 0 0 0 2.22634e-06 1.35061e-05 5.3870233618222e-06 7 3 1 2 0 2 0.998961417544202 0.987266163967253 0.878432293770044 6.6351278939491 3.08911640345644 1.01198372962338 17.9700118459685 0.269144574839711
TNRC18 1 0 1 5.88038e-05 1.58875e-06 4.7133317199619e-06 1 0 0 0 0 0 1.17842394345129 0.998485826759471 10.810535753171 1.39641941261819 0.98660872036582 0.999384216387138 17.5139454855615 0.275489159770276
ARFGEF1 0 0 0 8.27169e-07 1.57178e-05 5.0371560007483e-06 8 3 0 3 0 2 0.999613873176493 0.985210497284632 0.885808112696617 6.51172139650996 3.08911640345644 0.982564003058375 17.2421688158995 0.281407918778018
MIF 0 0 1 4.02146e-06 8.42673e-07 2.13500986264822e-07 0 1 0 0 0 0 0.998125583318553 0.999196337565414 12.1816512360572 0.985463527632272 1.40206218835785 0.999384216387138 16.7757714616488 0.287088513379685
HIST1H1E 0 0 1 3.36956e-06 1.32621e-06 9.89493543956475e-08 2 0 0 1 0 0 0.998428954076759 0.998735741296258 12.2189662025043 1.39298827842256 0.98660872036582 0.999384216387138 16.7350540919262 0.292300637161131
BLNK 0 0 1 1.11606e-10 2.63835e-06 1.8345422049256e-06 1 0 1 0 0 0 0.999999947881432 0.997487892817389 11.6668232907897 1.39641941261819 0.98660872036582 1.03076711477341 16.5265275636496 0.297204653009372
FLAD1 0 0 1 1.66807e-07 4.10914e-06 1.41580392194538e-06 2 0 1 1 0 1 0.999922109388342 0.996092701565625 11.7974775957537 1.39298827842256 0.98660872036582 1.02122969537149 16.4919092739826 0.30173664104328
TRH 0 0 1 1.71042e-06 2.08606e-06 6.39009399165535e-07 1 1 0 1 0 1 0.999201899117064 0.998012759185379 12.044136520261 0.987484009068443 1.40206218835785 0.990839023890334 16.476519076439 0.30592870496282
NCKIPSD 0 0 1 2.60543e-06 1.04146e-10 1.90459189119799e-06 1 0 1 0 0 1 0.998784789912181 0.99999990059917 11.6451222969897 1.39641941261819 0.98660872036582 1.02122969537149 16.3644040053605 0.309871487791193
GLIPR1L2 0 0 1 1.81567e-06 1.30957e-06 1.11777787297365e-06 1 0 0 0 0 2 0.999152830302587 0.998751585105691 11.8914478222621 1.39641941261819 0.98660872036582 0.982564003058375 16.063708547425 0.313693403563394
KPNA1 0 0 1 1.11606e-10 5.31309e-06 1.70473429049993e-06 0 1 0 0 0 1 0.999999947881432 0.994953407126034 11.707154760079 0.985463527632272 1.40206218835785 0.990839023890334 15.9464867315956 0.317313169867577
MARK4 0 0 1 1.63924e-06 5.87796e-06 2.17303776598048e-06 0 1 0 0 0 0 0.999235086846699 0.994419730504767 11.5623695611571 0.985463527632272 1.40206218835785 0.999384216387138 15.8644336690909 0.320733488437395
ZMYND11 0 0 1 1.11606e-10 1.04146e-10 2.34284938781361e-06 1 0 0 0 0 0 0.999999947881432 0.99999990059917 11.5103566148934 1.39641941261819 0.98660872036582 0.999384216387138 15.8482760387734 0.323941148909922
TLK1 0 0 1 1.3738e-06 5.21666e-06 2.38820767299596e-06 1 0 0 0 0 1 0.999358868080017 0.995044566779959 11.496507070044 1.39641941261819 0.98660872036582 0.990839023890334 15.6060805523563 0.327065719083739
