'geneName' PP qvalue
'LZTR1' 0.94257150068651896 5.4100508589155797E-3
'LARP4B' 0.94162104467639696 5.95054988406546E-3
'SUV420H1' 0.93566993004419996 6.5402420060021796E-3
'MEIS2' 0.93553496776440903 7.1194899082980597E-3
'SF1' 0.93133150583932101 7.7288859900048103E-3
'GOLPH3' 0.92008624632097402 8.4365807712697208E-3
'OTX1' 0.91229569156567503 9.2061703602314207E-3
'SNX11' 0.90501352984126404 1.0030980935216999E-2
'SMPD2' 0.89954072944123398 1.0892202741155601E-2
'PTEN' 0.89841291980639104 1.1747814792593901E-2
'PRR12' 0.89628065265276302 1.2607361825814799E-2
'TGFB2' 0.88787841318414695 1.35287898349818E-2
'KCNQ3' 0.88633963316686204 1.44474281560659E-2
'EIF4A2' 0.883073771367066 1.53790536149465E-2
'PRKD1' 0.87901758909891703 1.63304352121189E-2
'KDM5B' 0.86768272672277802 1.7366031980557299E-2
'CUL3' 0.85434126332452098 1.8501365650423901E-2
'FBXO11' 0.85182592145404301 1.9638845588104002E-2
'NAA15' 0.85163140465175702 2.0758234716453002E-2
'VAMP2' 0.85116643563786198 2.1862332385812401E-2
'MAP2' 0.84859727360752801 2.2969515240570101E-2
'SLC12A2' 0.83989126256195601 2.4131712038853802E-2
'FAM104A' 0.81952698161887205 2.5445504529125001E-2
'NOC4L' 0.81619227493567204 2.6765189700251699E-2
'HIST1H2AC' 0.81194775239619799 2.80981405920166E-2
'PRKAR1A' 0.80425885647166295 2.9472263566904501E-2
'LEO1' 0.79708760101245602 3.0882345968698301E-2
'SETD2' 0.77624716789074999 3.2437753114993098E-2
'KIF11' 0.77044600307870303 3.4014683065443502E-2
'CTNND1' 0.758331490123199 3.5662729309978103E-2
'CAMK2A' 0.75757476583657302 3.7290780529296602E-2
'RAB11B' 0.74923769745910895 3.8958526795012202E-2
'ASIC2' 0.74875195218021096 4.0604181996754703E-2
'CLDN5' 0.74534242688333396 4.2250746543830903E-2
'TRAF7' 0.73911108380289603 4.3919740205306299E-2
'TMEM26' 0.73122643536497001 4.56231782691678E-2
'CACNA1E' 0.69888119326570897 4.75441980320635E-2
'ARID1A' 0.68298298731890905 4.9555189186160697E-2
'CHD7' 0.66961970710914298 5.1635375139528802E-2
'NOBOX' 0.66738858631592302 5.3701375422944599E-2
'CYP27C1' 0.64787752961213896 5.5879631590571799E-2
'SYT1' 0.64245295520401502 5.8065627338437099E-2
'CHD3' 0.64078539499797404 6.0232166746088799E-2
'NFE2L2' 0.63542903659306804 6.2406015293666302E-2
'PHF12' 0.62771407843884497 6.4603745125350595E-2
'MYH13' 0.62485769926517998 6.6790636362036998E-2
'OGFOD3' 0.62372002229604295 6.8954897490302203E-2
'FAM5B' 0.622892136286464 7.1094848644630199E-2
