'Gene' qvalue PP
'CEP104' 0.41089179840273599 0.47777400992454999
'ALMS1' 0.41265737088959198 0.463752555030499
'TTC28' 0.41438763083716701 0.46276391288502999
'PDZD2' 0.41608788130778201 0.46149408480792697
'ALS2CL' 0.41774346589358502 0.46139885934283398
'PLXDC2' 0.41936203533751898 0.46086382581135998
'TEK' 0.42093838750998902 0.46083519955472502
'STXBP2' 0.42252828701872602 0.45663935031724101
'MYOM2' 0.42408189119457701 0.45629058726491201
'ITPR1' 0.42563764533550202 0.45301353167237501
'BRPF1' 0.42726439542725803 0.44422234732403998
'CACNA1S' 0.428913347542978 0.43917048319934399
'GALNT14' 0.43056628308391298 0.43554593810035702
'MLL2' 0.432201159379411 0.43373898438977798
'PHF7' 0.43386671250881398 0.42789237775070998
'PAQR9' 0.43550326453079402 0.42702636562291102
'RHOT2' 0.43711343409997799 0.42602215251939002
'INHBC' 0.43868703814726401 0.42598301378613301
'EPYC' 0.44024189647928702 0.42448542863475403
'SERPINI1' 0.44176271668459299 0.42440510524846597
'ICAM1' 0.44327630427839199 0.42201439987346701
'PCDHAC2' 0.444772244251874 0.42059315813473902
'TMEM201' 0.44623660024588802 0.420507004298869
'STAP2' 0.44767027784067698 0.42043138343875802
'BCAT1' 0.44907475193072799 0.42030915769450899
'HSP90AA1' 0.45045029148165799 0.42024899073092398
'DDHD2' 0.45180342930130701 0.41964847783203901
'LY75-CD302' 0.45313531699124199 0.41900346477501998
'GTPBP3' 0.454441692765709 0.418839857110963
'ZEB1' 0.45574369592691899 0.41665999427447098
'ASAH1' 0.457033081677922 0.41531772897282099
'KCNU1' 0.45833967155710198 0.41100134052489301
'CCDC39' 0.45971361892343598 0.40151769707685597
'TP53I13' 0.46107034714292799 0.40054337446883698
'NUP54' 0.46241998275610902 0.39856754908628
'RTTN' 0.46377219354569899 0.39559788433695903
'EIF3B' 0.465115256033168 0.39386318278252203
'ADAMTS9' 0.46644859999093602 0.39221694048567302
'NLRC5' 0.46779502035510201 0.38813800067918403
'ZNF407' 0.46912932675916402 0.38676558160204699
'MYH9' 0.47045845494866201 0.38466657239610702
'MAP4K4' 0.471794037844881 0.381291843571052
'SCN2A' 0.47320568978854599 0.37010094446462999
'CHD8' 0.47463882044140498 0.36485054643839698
'PLEKHG7' 0.47604739122323902 0.36478411042944497
'NIP7' 0.47743870072691502 0.363952015854075
'UFL1' 0.47881910431394598 0.36243448317745097
'KLHL25' 0.480177789447162 0.36221473509976498
'LLGL1' 0.48157347451448401 0.35513137260890199
'CELF2' 0.48294805753189501 0.35485114641360199
'SLC12A4' 0.48431178072097703 0.35340515977821302
'KCNH7' 0.48570095024873999 0.34759870641980201
'COL4A3' 0.48707493295879301 0.34667315912477897
'CDO1' 0.48843177244353903 0.34603381041735198
'TMPO' 0.48977014047609102 0.34561059152009499
'GABRA2' 0.49109240110755398 0.344947280590992
'SEMA3C' 0.49240472161918197 0.34355521442737302
'COG3' 0.49370058285984902 0.34302090081611702
'CLTC' 0.49497630813917398 0.34300658138649498
'DHX33' 0.496247570526829 0.34103084385329702
'TUBB1' 0.49750242949131901 0.34062076408953201
'ATP8B4' 0.49874038863165898 0.34032492312406698
'USP4' 0.49995986379743101 0.34028888948644298
'DIAPH3' 0.50116897216816203 0.339228722895421
'LEMD3' 0.50239439723691504 0.33462406861895799
'B4GALNT1' 0.50360442240508696 0.33425220505984599
'KIAA1033' 0.50480862555931405 0.332623948620071
'SZT2' 0.50599639926398099 0.33246637690128
'PARP14' 0.50717209069129598 0.33175818376657001
'LPHN1' 0.50833331889640099 0.33141718879901
'PLOD3' 0.50948464541312499 0.33048096876222199
'TEAD2' 0.51062012488693298 0.33041274877995302
'LY75' 0.51175457513752198 0.32828793952942997
'MCM6' 0.51289624904765696 0.32498605571320899
'PTPRM' 0.51402532027158299 0.324517494707042
'ABCC10' 0.51514909027298095 0.32302802952572202
'LAMA2' 0.51626750232236396 0.32156275051710698
'MYH7B' 0.51737304371575299 0.32121791284934398
'ALDH1L1' 0.51849895932856205 0.315991445588506
'SEC23A' 0.51963397725520599 0.31238336960148499
'CNTN3' 0.52079091966652402 0.30682466104709999
'FN1' 0.52194521216810297 0.30491091259514802
'SEC31B' 0.52310084541334001 0.30239853455585097
'TRRAP' 0.52426689001215199 0.29849433096844002
'DAGLB' 0.52543021647400101 0.29658083486307402
'ROBO1' 0.526624214711509 0.28950005671232798
'AKD1' 0.52781205233137196 0.288073116589807
'HEATR2' 0.52899989660937896 0.28569639602149399
'DPYD' 0.53018749151114697 0.28336010891137098
'CCDC67' 0.53136249560526105 0.28298685752470698
'CPVL' 0.53252565559451404 0.28253190611419199
'THG1L' 0.53368627096372201 0.280615269963017
'ZNF534' 0.53483702515771903 0.27989154960879797
'SLITRK5' 0.535977152192608 0.27932226815525102
'SP4' 0.53710468390714405 0.279107646623586
'LRRC4' 0.53822168746810595 0.27858972853406599
'IP6K1' 0.53933022052758595 0.27776182465834298
'VSTM2A' 0.54043262547467696 0.27656815330808099
'CHRNE' 0.54152455677140898 0.276122916674435
'FAM179A' 0.54260448084308999 0.27596827511446698
'MYNN' 0.543684672684138 0.27376290617875698
'APBA2' 0.54475338096565096 0.27356621117713598
'DBNL' 0.54581184611586997 0.27319061319659799
'PDE1C' 0.54686223765472797 0.27247041766182201
'SMG5' 0.54790199756778002 0.272219537474097
'NUAK1' 0.54893058752410695 0.27209476007510902
'TLE1' 0.549951111251889 0.27145723638612801
'MFSD7' 0.55096167295645804 0.27117946703940499
'ELMO3' 0.55196200067603296 0.27097999295932401
'RAB26' 0.55295657515098795 0.27000916830694599
'FYN' 0.55394246392101998 0.269583446243219
'CSNK1D' 0.55491999282791205 0.26912480393166399
'SLCO1C1' 0.55588690589552103 0.26910182886720002
'C4orf29' 0.55684420476730401 0.26892740056812903
'PUS10' 0.55779247103146001 0.26867480262798299
'COG8' 0.55873082756024794 0.268611571142714
'LRRC56' 0.55966043360210005 0.26836244865544701
'WBSCR22' 0.56058071538829302 0.26824687237964501
'DNM1L' 0.561492240823665 0.26805250276180898
'CEP120' 0.56239458892155003 0.26796396867611899
'FZD1' 0.563288689488328 0.26772630339061798
