"Gene","mut.rate","dn.LoF","case.LoF","ctrl.LoF","trans.LoF","ntrans.LoF","dn.mis3","case.mis3","ctrl.mis3","trans.mis3","ntrans.mis3","BF.dn","pval.TADA.dn","qvalue.dn"
"NPIP",1.545e-05,0,0,0,0,0,0,0,0,0,0,0.83764347271694,0.439177475313584,0.920854370795092
"ARR3",1.546e-05,0,0,0,0,0,0,0,2,0,0,0.837548169732285,0.439343474779824,0.920857723185277
"NSUN6",1.546e-05,0,0,4,0,1,0,2,8,2,0,0.837548169732285,0.439343474779824,0.920861074784057
"ORC5",1.546e-05,0,0,3,0,1,0,1,12,2,1,0.837548169732285,0.439343474779824,0.920864425591712
"ANGPTL7",1.547e-05,0,1,3,0,0,0,5,9,3,1,0.83745287853966,0.439855884707766,0.920867776255299
"CD300LG",1.547e-05,0,0,1,3,0,0,3,11,2,1,0.83745287853966,0.439855884707766,0.920871126128169
"DONSON",1.547e-05,0,2,4,0,1,0,2,8,4,1,0.83745287853966,0.439855884707766,0.920874475210601
"GSDMB",1.547e-05,0,2,0,0,0,0,4,15,0,5,0.83745287853966,0.439855884707766,0.920877823502877
"PPAP2C",1.547e-05,0,0,4,0,0,0,4,15,4,4,0.83745287853966,0.439855884707766,0.920881171005274
"RAD51D",1.547e-05,0,0,4,0,0,0,1,16,5,8,0.83745287853966,0.439855884707766,0.920884517718072
"RIMS4",1.547e-05,0,0,0,0,0,0,0,2,1,2,0.83745287853966,0.439855884707766,0.920887863641552
"SH2D2A",1.547e-05,0,0,1,0,0,0,2,9,1,3,0.83745287853966,0.439855884707766,0.920891208775992
"SLC35E1",1.547e-05,0,0,0,0,0,0,1,5,3,2,0.83745287853966,0.439855884707766,0.920894553121671
"YDJC",1.547e-05,0,0,0,0,0,0,0,4,1,1,0.83745287853966,0.439855884707766,0.920897896678869
"EIF3E",1.548e-05,0,0,0,0,1,0,0,2,0,0,0.837357599137475,0.440221510541767,0.920901240093804
"HSD17B2",1.548e-05,0,4,7,1,2,0,3,9,4,4,0.837357599137475,0.440221510541767,0.920904582720662
"INTS12",1.548e-05,0,0,0,0,0,0,4,9,1,2,0.837357599137475,0.440221510541767,0.920907924559723
"PSMC6",1.548e-05,0,0,1,0,2,0,0,3,1,2,0.837357599137475,0.440221510541767,0.920911265611264
"PYGO2",1.548e-05,0,0,1,0,1,0,1,10,1,1,0.837357599137475,0.440221510541767,0.920914605875564
"SNRPA",1.548e-05,0,0,1,0,0,0,1,1,0,0,0.837357599137475,0.440221510541767,0.920917945352901
"ADO",1.549e-05,0,0,0,0,0,0,0,4,0,0,0.837262331524154,0.440429143314652,0.920921284688964
"BUB3",1.549e-05,0,0,0,0,0,0,1,2,1,2,0.837262331524154,0.440429143314652,0.920924623238469
"FAHD1",1.549e-05,0,0,2,2,1,0,4,11,1,0,0.837262331524154,0.440429143314652,0.920927961001693
"ZNF253",1.549e-05,0,1,7,0,5,0,0,20,3,3,0.837262331524154,0.440429143314652,0.920931297978914
"DKK1",1.55e-05,0,0,0,1,1,0,1,5,1,1,0.837167075698121,0.440742460635175,0.920934634815444
"EIF4A2",1.55e-05,0,0,0,0,1,0,0,0,0,0,0.837167075698121,0.440742460635175,0.920937970866375
"GMPR",1.55e-05,0,0,0,0,0,0,0,5,1,1,0.837167075698121,0.440742460635175,0.920941306131982
"JUND",1.55e-05,0,0,0,0,0,0,1,7,0,0,0.837167075698121,0.440742460635175,0.920944640612544
"KIR2DL1",1.55e-05,0,0,0,0,1,0,0,2,0,0,0.837167075698121,0.440742460635175,0.920947974308338
"ORAI2",1.55e-05,0,0,0,0,0,0,1,2,2,1,0.837167075698121,0.440742460635175,0.920951307219641
"ANKMY2",1.551e-05,0,0,3,1,0,0,2,4,6,5,0.83707183165779,0.441055244195356,0.920954639991237
"GTDC1",1.551e-05,0,1,2,1,2,0,5,20,3,3,0.83707183165779,0.441055244195356,0.920957971978744
"INHA",1.551e-05,0,0,0,0,0,0,3,14,0,3,0.83707183165779,0.441055244195356,0.920961303182438
"PSMD13",1.551e-05,0,0,0,0,0,0,2,13,3,5,0.83707183165779,0.441055244195356,0.920964633602596
"S100PBP",1.551e-05,0,0,0,0,0,0,2,15,0,6,0.83707183165779,0.441055244195356,0.920967963239494
"SIRT4",1.551e-05,0,1,1,0,0,0,1,7,3,1,0.83707183165779,0.441055244195356,0.920971292093409
"ASB13",1.552e-05,0,0,2,0,1,0,2,6,4,2,0.836976599401588,0.441572991726715,0.920974620808598
"DDX25",1.552e-05,0,0,3,0,0,0,2,15,0,1,0.836976599401588,0.441572991726715,0.920977948741205
"FGF17",1.552e-05,0,0,0,0,0,0,0,1,0,1,0.836976599401588,0.441572991726715,0.920981275891504
"GPR31",1.552e-05,0,1,1,0,2,0,1,11,0,4,0.836976599401588,0.441572991726715,0.920984602259773
"HAT1",1.552e-05,0,0,0,0,0,0,3,5,2,1,0.836976599401588,0.441572991726715,0.920987927846286
"LRRC30",1.552e-05,0,1,1,0,0,0,1,5,2,1,0.836976599401588,0.441572991726715,0.92099125265132
"OR6B2",1.552e-05,0,0,1,0,0,0,1,2,0,0,0.836976599401588,0.441572991726715,0.92099457667515
"RBMS2",1.552e-05,0,1,1,0,1,0,2,8,0,0,0.836976599401588,0.441572991726715,0.920997899918051
"TTL",1.552e-05,0,0,0,0,0,0,2,2,0,1,0.836976599401588,0.441572991726715,0.921001222380298
"ZNF558",1.552e-05,0,0,1,1,0,0,0,6,3,1,0.836976599401588,0.441572991726715,0.921004544062166
"CADM2",1.553e-05,0,0,0,0,0,0,0,4,2,3,0.836881378927929,0.44173098478783,0.921007865607084
"PCMTD2",1.553e-05,0,0,1,0,0,0,1,4,3,0,0.836881378927929,0.44173098478783,0.921011186372021
"SERPINA9",1.553e-05,0,3,5,1,1,0,1,9,2,5,0.836881378927929,0.44173098478783,0.921014506357253
"KLHDC2",1.554e-05,0,1,1,1,0,0,3,8,1,0,0.836786170235238,0.441832933013077,0.921017826205909
"STAMBPL1",1.554e-05,0,0,0,1,1,0,1,7,4,3,0.836786170235238,0.441832933013077,0.921021145275257
"AQP6",1.555e-05,0,0,0,0,0,0,2,12,6,1,0.836690973321938,0.442302108353349,0.921024464208204
"C5orf22",1.555e-05,0,0,1,0,0,0,2,6,1,2,0.836690973321938,0.442302108353349,0.921027782362241
"CXCR1",1.555e-05,0,0,4,0,0,0,3,15,11,5,0.836690973321938,0.442302108353349,0.921031099737643
"KLRG2",1.555e-05,0,0,2,0,1,0,1,12,1,1,0.836690973321938,0.442302108353349,0.921034416334684
"MAT2A",1.555e-05,0,2,0,0,0,0,0,0,0,0,0.836690973321938,0.442302108353349,0.921037732153637
"OCEL1",1.555e-05,0,1,2,1,1,0,1,12,0,5,0.836690973321938,0.442302108353349,0.921041047194777
"PKDCC",1.555e-05,0,0,2,0,0,0,3,7,3,2,0.836690973321938,0.442302108353349,0.921044361458378
"SCAMP3",1.555e-05,0,0,1,0,0,0,1,6,2,2,0.836690973321938,0.442302108353349,0.921047674944712
"SDCBP2",1.555e-05,0,2,3,1,0,0,2,7,1,3,0.836690973321938,0.442302108353349,0.921050987654052
"EXOG",1.556e-05,0,1,4,1,3,0,2,3,4,4,0.836595788186446,0.442716306378436,0.921054300228555
"FOXP3",1.556e-05,0,0,0,0,0,0,0,0,0,0,0.836595788186446,0.442716306378436,0.92105761202646
"GPR62",1.556e-05,0,0,0,0,1,0,0,2,0,0,0.836595788186446,0.442716306378436,0.921060923048042
"HAGH",1.556e-05,0,0,3,0,0,0,3,7,5,1,0.836595788186446,0.442716306378436,0.921064233293572
"KIAA1737",1.556e-05,0,1,3,0,0,0,2,7,0,0,0.836595788186446,0.442716306378436,0.921067542763324
"SLC35G5",1.556e-05,0,0,1,0,0,0,2,5,3,2,0.836595788186446,0.442716306378436,0.921070851457571
"TSPAN10",1.556e-05,0,0,0,0,1,0,5,12,4,4,0.836595788186446,0.442716306378436,0.921074159376585
"ADPGK",1.557e-05,0,0,0,0,1,0,2,7,1,0,0.836500614827188,0.442870029356819,0.921077467161921
"HHLA2",1.557e-05,0,1,2,1,2,0,3,4,2,1,0.836500614827188,0.442870029356819,0.921080774172419
"TNFRSF4",1.557e-05,0,0,0,0,0,0,1,4,0,0,0.836500614827188,0.442870029356819,0.92108408040835
"ALG10B",1.558e-05,0,1,4,2,2,0,2,7,2,2,0.836405453242586,0.443494528956499,0.921087386510973
"C14orf45",1.558e-05,0,1,1,0,2,0,3,11,0,2,0.836405453242586,0.443494528956499,0.921090691839423
"C1orf198",1.558e-05,0,1,2,0,0,0,1,3,5,3,0.836405453242586,0.443494528956499,0.921093996393974
"CASP1",1.558e-05,0,0,1,0,0,0,1,4,1,2,0.836405453242586,0.443494528956499,0.921097300174895
"COPS3",1.558e-05,0,0,0,0,0,0,0,3,0,0,0.836405453242586,0.443494528956499,0.92110060318246
"DHDDS",1.558e-05,0,0,0,0,0,0,1,5,2,2,0.836405453242586,0.443494528956499,0.92110390541694
"DIRAS1",1.558e-05,0,0,0,0,0,0,0,1,0,0,0.836405453242586,0.443494528956499,0.921107206878605
"GPR63",1.558e-05,0,0,0,0,0,0,5,6,4,0,0.836405453242586,0.443494528956499,0.921110507567727
"TRIM16L",1.558e-05,0,0,5,0,0,0,0,3,1,0,0.836405453242586,0.443494528956499,0.921113807484578
"TXNIP",1.558e-05,0,0,0,0,1,0,1,7,1,1,0.836405453242586,0.443494528956499,0.921117106629428
"WDR38",1.558e-05,0,1,4,4,4,0,1,6,0,6,0.836405453242586,0.443494528956499,0.921120405002549
"ATP1B2",1.559e-05,0,0,1,0,0,0,3,7,5,0,0.836310303431059,0.443809981318388,0.921123703244299
"LHFPL4",1.559e-05,0,0,0,0,0,0,0,3,0,0,0.836310303431059,0.443809981318388,0.921127000714711
"RNASEH2A",1.559e-05,0,0,5,0,0,0,0,1,1,5,0.836310303431059,0.443809981318388,0.921130297414056
"SKA3",1.559e-05,0,0,0,0,0,0,0,5,1,4,0.836310303431059,0.443809981318388,0.921133593342604
"ST3GAL4",1.559e-05,0,0,1,1,0,0,2,2,5,1,0.836310303431059,0.443809981318388,0.921136888500625
"ST6GAL1",1.559e-05,0,0,0,0,1,0,0,8,1,1,0.836310303431059,0.443809981318388,0.921140182888389
"C9orf140",1.56e-05,0,0,0,0,0,0,2,7,2,1,0.836215165391035,0.444171337069656,0.921143477145735
"C9orf50",1.56e-05,0,0,0,0,0,0,2,5,3,4,0.836215165391035,0.444171337069656,0.921146770633215
"COPG2",1.56e-05,0,0,0,0,0,0,2,3,1,1,0.836215165391035,0.444171337069656,0.921150063351099
"DAO",1.56e-05,0,0,5,2,5,0,2,26,2,3,0.836215165391035,0.444171337069656,0.921153355299656
"LTV1",1.56e-05,0,4,13,1,1,0,0,8,2,1,0.836215165391035,0.444171337069656,0.921156646479157
"MTG1",1.56e-05,0,0,1,0,0,0,1,8,0,0,0.836215165391035,0.444171337069656,0.921159936889869
"ZCCHC18",1.56e-05,0,0,0,0,0,0,0,0,0,0,0.836215165391035,0.444171337069656,0.921163226532064
"VSTM4",1.561e-05,0,0,0,0,0,0,1,5,4,6,0.836120039120927,0.44422257806245,0.921166516044983
"TRA2B",1.562e-05,0,0,1,0,0,0,0,3,1,1,0.836024924619167,0.444323992527355,0.921169805428602
"ZDHHC9",1.562e-05,0,0,1,0,0,0,0,0,0,0,0.836024924619167,0.444323992527355,0.921173094044211
"CMAS",1.563e-05,0,1,1,0,0,0,0,3,0,0,0.835929821884178,0.444738724312784,0.921176382530687
"FAM50A",1.563e-05,0,0,0,0,0,0,0,0,0,0,0.835929821884178,0.444738724312784,0.921179670249543
"GPR89A",1.563e-05,0,0,0,0,0,0,0,0,0,0,0.835929821884178,0.444738724312784,0.921182957201046
"OSR1",1.563e-05,0,0,0,0,0,0,1,0,0,0,0.835929821884178,0.444738724312784,0.921186243385467
"PARL",1.563e-05,0,0,1,0,0,0,0,1,0,0,0.835929821884178,0.444738724312784,0.921189528803072
"SEMG1",1.563e-05,0,1,8,2,2,0,5,18,7,2,0.835929821884178,0.444738724312784,0.921192813454132
"SLC41A2",1.563e-05,0,1,0,1,0,0,1,6,1,2,0.835929821884178,0.444738724312784,0.921196097338913
"UBQLNL",1.563e-05,0,2,3,1,2,0,2,9,2,3,0.835929821884178,0.444738724312784,0.921199380457685
"ADH1B",1.564e-05,0,1,1,1,0,0,3,12,1,7,0.835834730914378,0.444895649853216,0.921202663448654
"AP3M1",1.564e-05,0,2,0,0,0,0,0,4,1,2,0.835834730914378,0.444895649853216,0.921205945674
"CAPG",1.564e-05,0,0,0,0,0,0,1,15,5,5,0.835834730914378,0.444895649853216,0.921209227133991
"CHEK1",1.565e-05,0,0,2,0,0,0,1,4,1,4,0.835739651708195,0.445209500934081,0.92121250846654
"CPA6",1.565e-05,0,0,6,0,1,0,8,12,2,3,0.835739651708195,0.445209500934081,0.92121578903412
"FAM110C",1.565e-05,0,1,1,0,1,0,0,2,0,0,0.835739651708195,0.445209500934081,0.921219068837
"FITM1",1.565e-05,0,0,2,0,0,0,3,14,4,2,0.835739651708195,0.445209500934081,0.921222347875445
"GDPD3",1.565e-05,0,1,4,0,0,0,7,9,5,2,0.835739651708195,0.445209500934081,0.921225626149724
"SLC25A19",1.565e-05,0,2,2,0,0,0,3,3,5,2,0.835739651708195,0.445209500934081,0.921228903660104
"CXorf59",1.566e-05,0,0,1,0,0,0,0,0,0,0,0.835644584264052,0.44557139044569,0.921232181043979
"FAM188A",1.566e-05,0,0,2,1,0,0,0,1,0,1,0.835644584264052,0.44557139044569,0.92123545766434
"GALNTL5",1.566e-05,0,2,4,1,2,0,3,11,1,3,0.835644584264052,0.44557139044569,0.921238733521454
"MEOX2",1.566e-05,0,0,0,0,0,0,2,3,3,2,0.835644584264052,0.44557139044569,0.921242008615588
"PSRC1",1.566e-05,0,1,1,0,1,0,1,6,1,3,0.835644584264052,0.44557139044569,0.921245282947007
"SLC2A4RG",1.566e-05,0,0,0,0,0,0,0,4,1,0,0.835644584264052,0.44557139044569,0.921248556515979
"ZNF789",1.566e-05,0,2,4,0,0,0,3,6,2,0,0.835644584264052,0.44557139044569,0.921251829322769
"ALG9",1.567e-05,0,0,0,0,1,0,3,6,3,2,0.835549528580371,0.446200160128102,0.921255102004181
"C5orf25",1.567e-05,0,0,5,4,4,0,3,11,3,3,0.835549528580371,0.446200160128102,0.921258373923797
"CCDC169-SOHLH2",1.567e-05,0,0,0,0,0,0,0,3,0,0,0.835549528580371,0.446200160128102,0.92126164508188
"CLDN23",1.567e-05,0,0,0,0,0,0,2,7,1,0,0.835549528580371,0.446200160128102,0.921264915478698
"DEDD",1.567e-05,0,0,0,0,0,0,0,3,0,0,0.835549528580371,0.446200160128102,0.921268185114517
"DNTTIP1",1.567e-05,0,0,1,0,0,0,0,5,3,4,0.835549528580371,0.446200160128102,0.921271453989601
"OR10C1",1.567e-05,0,0,0,0,1,0,0,20,1,3,0.835549528580371,0.446200160128102,0.921274722104216
"RTDR1",1.567e-05,0,0,1,0,0,0,3,10,6,2,0.835549528580371,0.446200160128102,0.921277989458628
"SIAH2",1.567e-05,0,0,0,0,0,0,0,1,0,0,0.835549528580371,0.446200160128102,0.921281256053102
"SYN2",1.567e-05,0,1,0,0,0,0,0,6,2,3,0.835549528580371,0.446200160128102,0.921284521887902
"TINF2",1.567e-05,0,0,0,0,0,0,1,2,0,1,0.835549528580371,0.446200160128102,0.921287786963295
"TSEN34",1.567e-05,0,0,0,0,0,0,3,7,0,2,0.835549528580371,0.446200160128102,0.921291051279544
"CDC34",1.568e-05,0,0,1,0,1,0,2,3,1,0,0.835454484655579,0.446459567654123,0.921294315472492
"FAM86B1",1.568e-05,0,0,0,0,0,0,0,0,0,0,0.835454484655579,0.446459567654123,0.921297578906679
"GTF2A1L",1.568e-05,0,0,3,0,1,0,3,8,2,1,0.835454484655579,0.446459567654123,0.921300841582369
"SIAH3",1.568e-05,0,0,0,0,0,0,2,6,1,2,0.835454484655579,0.446459567654123,0.921304103499826
"TRIML2",1.568e-05,0,1,2,2,0,0,2,10,1,3,0.835454484655579,0.446459567654123,0.921307364659314
"C7orf60",1.569e-05,0,0,1,0,0,0,0,4,0,3,0.8353594524881,0.446980517747531,0.921310625696236
"CCDC89",1.569e-05,0,1,3,0,0,0,3,2,0,1,0.8353594524881,0.446980517747531,0.92131388597557
"ERI3",1.569e-05,0,0,0,0,0,0,1,4,1,0,0.8353594524881,0.446980517747531,0.92131714549758
"IFI44",1.569e-05,0,2,10,1,0,0,3,12,6,9,0.8353594524881,0.446980517747531,0.92132040426253
"NXF1",1.569e-05,0,0,0,0,0,0,1,8,3,2,0.8353594524881,0.446980517747531,0.921323662270684
"PARVG",1.569e-05,0,1,2,2,0,0,4,7,2,2,0.8353594524881,0.446980517747531,0.921326919522305
"PHOSPHO1",1.569e-05,0,0,0,0,0,0,0,2,0,0,0.8353594524881,0.446980517747531,0.921330176017657
"RPF1",1.569e-05,0,0,4,2,0,0,2,14,6,5,0.8353594524881,0.446980517747531,0.921333431757003
"TPSG1",1.569e-05,0,0,0,1,1,0,4,16,4,6,0.8353594524881,0.446980517747531,0.921336686740606
"UPP1",1.569e-05,0,0,1,2,0,0,4,8,5,5,0.8353594524881,0.446980517747531,0.92133994096873
"ACTL10",1.57e-05,0,0,0,0,0,0,0,0,0,0,0.835264432076353,0.447394182012276,0.921343195075967
"AMICA1",1.57e-05,0,1,8,0,0,0,3,13,1,3,0.835264432076353,0.447394182012276,0.921346448428103
"HAO1",1.57e-05,0,1,2,1,1,0,3,11,3,4,0.835264432076353,0.447394182012276,0.9213497010254
"MLIP",1.57e-05,0,1,6,1,0,0,4,14,9,10,0.835264432076353,0.447394182012276,0.921352952868123
"MRGPRX1",1.57e-05,0,1,3,0,1,0,3,12,0,1,0.835264432076353,0.447394182012276,0.921356203956533
"SPDYE6",1.57e-05,0,0,0,0,0,0,0,0,0,0,0.835264432076353,0.447394182012276,0.921359454290892
"TSG101",1.57e-05,0,0,0,1,0,0,1,1,1,0,0.835264432076353,0.447394182012276,0.921362703871463
"UBXN1",1.57e-05,0,0,1,1,0,0,3,5,0,1,0.835264432076353,0.447394182012276,0.921365952698508
"C10orf88",1.571e-05,0,0,1,0,2,0,1,8,5,4,0.835169423418777,0.447652522017614,0.921369201405959
"CA4",1.571e-05,0,0,0,0,0,0,3,2,3,2,0.835169423418777,0.447652522017614,0.921372449360262
"RNMT",1.571e-05,0,0,0,0,0,0,1,6,0,1,0.835169423418777,0.447652522017614,0.921375696561677
"RSRC2",1.571e-05,0,0,2,1,2,0,1,2,0,2,0.835169423418777,0.447652522017614,0.921378943010468
"TPH1",1.571e-05,0,2,3,2,2,0,5,10,5,2,0.835169423418777,0.447652522017614,0.921382188706895
"BSX",1.572e-05,0,0,0,0,0,0,0,0,2,1,0.835074426513782,0.448070990125434,0.921385434284452
"DHRS2",1.572e-05,0,0,1,0,0,0,4,19,8,4,0.835074426513782,0.448070990125434,0.921388679110021
"KLHDC9",1.572e-05,0,1,2,0,2,0,1,7,0,1,0.835074426513782,0.448070990125434,0.921391923183865
"NUSAP1",1.572e-05,0,0,2,1,0,0,2,14,4,1,0.835074426513782,0.448070990125434,0.921395166506243
"POLR2M",1.572e-05,0,0,0,0,0,0,0,0,0,0,0.835074426513782,0.448070990125434,0.921398409077418
"ZNF181",1.572e-05,0,2,4,2,1,0,2,4,1,0,0.835074426513782,0.448070990125434,0.92140165089765
"ZNF345",1.572e-05,0,1,5,2,1,0,1,8,0,2,0.835074426513782,0.448070990125434,0.9214048919672
"ZNF766",1.572e-05,0,1,4,0,1,0,0,3,2,0,0.835074426513782,0.448070990125434,0.921408132286328
"APOL6",1.573e-05,0,0,2,0,1,0,1,3,3,4,0.834979441359801,0.448436615959434,0.921411372487871
"HLA-DQB1",1.573e-05,0,0,1,0,4,0,0,0,0,0,0.834979441359801,0.448436615959434,0.921414611939367
"IGSF11",1.573e-05,0,1,1,0,0,0,3,8,2,0,0.834979441359801,0.448436615959434,0.921417850641077
"PTGIR",1.573e-05,0,1,2,0,0,0,0,2,5,2,0.834979441359801,0.448436615959434,0.921421088593261
"SDR42E1",1.573e-05,0,1,0,0,0,0,2,11,3,4,0.834979441359801,0.448436615959434,0.921424325796179
"SLC30A6",1.573e-05,0,0,2,1,1,0,0,5,1,2,0.834979441359801,0.448436615959434,0.921427562250091
"APOA1BP",1.574e-05,0,2,1,0,0,0,2,9,0,3,0.834884467955262,0.448747264478249,0.921430798587322
"CYP7B1",1.574e-05,0,2,5,0,0,0,4,13,2,2,0.834884467955262,0.448747264478249,0.921434034175921
"FBXO47",1.574e-05,0,0,1,0,0,0,2,5,3,5,0.834884467955262,0.448747264478249,0.921437269016147
"GPR3",1.574e-05,0,0,0,0,0,0,1,4,1,4,0.834884467955262,0.448747264478249,0.921440503108261
"PRSS8",1.574e-05,0,1,2,0,0,0,1,4,0,3,0.834884467955262,0.448747264478249,0.921443736452521
"RBBP4",1.574e-05,0,0,2,0,0,0,0,0,0,0,0.834884467955262,0.448747264478249,0.921446969049187
"CDS1",1.575e-05,0,0,1,0,0,0,1,8,1,3,0.834789506298586,0.449165198825727,0.921450201530074
"CHPT1",1.575e-05,0,0,0,0,0,0,4,15,2,3,0.834789506298586,0.449165198825727,0.921453433263739
"CYP39A1",1.575e-05,0,1,1,0,0,0,4,13,2,2,0.834789506298586,0.449165198825727,0.921456664250441
"HSD3B1",1.575e-05,0,0,0,0,0,0,3,9,2,5,0.834789506298586,0.449165198825727,0.92145989449044
"KLF5",1.575e-05,0,0,0,0,0,0,1,0,1,1,0.834789506298586,0.449165198825727,0.921463123983994
"MSC",1.575e-05,0,0,0,0,0,0,0,2,0,1,0.834789506298586,0.449165198825727,0.921466352731362
"PA2G4",1.575e-05,0,0,0,0,0,0,0,0,0,0,0.834789506298586,0.449165198825727,0.921469580732802
"TRUB1",1.575e-05,0,0,1,0,1,0,1,2,1,2,0.834789506298586,0.449165198825727,0.921472807988573
"OR10H2",1.576e-05,0,0,1,0,0,0,1,6,3,0,0.834694556388204,0.449372297838271,0.921476035129835
"USF2",1.576e-05,0,0,0,0,0,0,0,2,0,1,0.834694556388204,0.449372297838271,0.921479261525798
"ZNF140",1.576e-05,0,0,0,0,0,0,1,2,1,3,0.834694556388204,0.449372297838271,0.921482487176722
"GPR19",1.577e-05,0,0,1,0,0,0,2,7,2,1,0.834599618222533,0.449526554576995,0.921485712713475
"RBMS1",1.577e-05,0,1,3,0,0,0,2,4,2,1,0.834599618222533,0.449526554576995,0.921488937505559
"SLC17A2",1.577e-05,0,1,1,0,1,0,1,8,0,0,0.834599618222533,0.449526554576995,0.921492161553231
"PMEPA1",1.578e-05,0,0,0,0,0,0,0,4,0,0,0.83450469180001,0.449630637843608,0.921495385487072
"CDKL3",1.579e-05,0,3,2,0,0,0,1,11,1,4,0.834409777119058,0.44973418734988,0.92149860930705
"LASP1",1.579e-05,0,0,0,3,1,0,1,7,1,1,0.834409777119058,0.44973418734988,0.921501832383098
"MYZAP",1.58e-05,0,0,0,0,0,0,1,13,0,0,0.834314874178101,0.449992527355217,0.921505055345438
"NOL3",1.58e-05,0,0,2,1,2,0,0,3,0,0,0.834314874178101,0.449992527355217,0.921508277564217
"TNFRSF14",1.58e-05,0,0,0,0,0,0,0,3,1,1,0.834314874178101,0.449992527355217,0.921511499039693
"ZNF679",1.58e-05,0,0,0,0,0,0,0,0,0,0,0.834314874178101,0.449992527355217,0.921514719772123
"ZNF735",1.58e-05,0,0,0,0,0,0,0,0,0,0,0.834314874178101,0.449992527355217,0.921517939761764
"CEP55",1.581e-05,0,3,4,2,0,0,5,11,2,2,0.834219982975572,0.45045850013344,0.921521159638403
"CWC27",1.581e-05,0,0,1,1,1,0,3,12,3,1,0.834219982975572,0.45045850013344,0.921524378772622
"DSCR3",1.581e-05,0,0,3,0,0,0,2,12,4,3,0.834219982975572,0.45045850013344,0.921527597164677
"IFIT1",1.581e-05,0,0,8,0,0,0,5,16,5,3,0.834219982975572,0.45045850013344,0.921530814814825
"IKZF5",1.581e-05,0,0,2,0,0,0,0,1,1,3,0.834219982975572,0.45045850013344,0.921534031723323
"NAGK",1.581e-05,0,0,1,1,1,0,6,20,4,2,0.834219982975572,0.45045850013344,0.921537247890427
"STK33",1.581e-05,0,1,2,3,1,0,0,12,1,2,0.834219982975572,0.45045850013344,0.921540463316393
"TBCEL",1.581e-05,0,0,0,0,0,0,0,1,0,1,0.834219982975572,0.45045850013344,0.921543678001478
"TMEM38A",1.581e-05,0,0,0,0,0,0,2,10,1,0,0.834219982975572,0.45045850013344,0.921546891945937
"BZW2",1.582e-05,0,0,0,0,0,0,0,1,1,0,0.834125103509897,0.450719508940486,0.921550105778833
"GALR3",1.582e-05,0,1,2,0,0,0,4,11,3,4,0.834125103509897,0.450719508940486,0.92155331887147
"GCNT3",1.582e-05,0,3,1,2,3,0,1,10,0,4,0.834125103509897,0.450719508940486,0.921556531224105
"OC90",1.582e-05,0,2,3,2,0,0,4,11,2,2,0.834125103509897,0.450719508940486,0.921559742836992
"SBK2",1.582e-05,0,0,2,0,0,0,3,9,3,3,0.834125103509897,0.450719508940486,0.921562953710387
"C17orf82",1.583e-05,0,1,1,0,0,0,0,10,3,1,0.834030235779499,0.45097998398719,0.92156616447292
"CDX4",1.583e-05,0,0,1,0,0,0,0,0,0,0,0.834030235779499,0.45097998398719,0.921569374496327
"FCN2",1.583e-05,0,2,3,0,2,0,6,6,0,9,0.834030235779499,0.45097998398719,0.921572583780864
"HSD17B14",1.583e-05,0,1,8,2,3,0,0,4,2,0,0.834030235779499,0.45097998398719,0.921575792326785
"SNAPC3",1.583e-05,0,0,1,0,1,0,1,13,3,3,0.834030235779499,0.45097998398719,0.921579000134345
"MRPS22",1.584e-05,0,1,3,1,2,0,1,18,1,3,0.833935379782813,0.451187082999733,0.921582207831742
"PIGB",1.584e-05,0,0,1,1,1,0,2,7,0,6,0.833935379782813,0.451187082999733,0.921585414791143
"WNT11",1.584e-05,0,0,1,0,0,0,3,8,4,0,0.833935379782813,0.451187082999733,0.921588621012804
"ZNF688",1.584e-05,0,0,0,0,0,0,1,8,3,2,0.833935379782813,0.451187082999733,0.921591826496978
"ASCL4",1.585e-05,0,0,0,0,0,0,1,6,1,0,0.833840535518262,0.451656258340005,0.921595031871503
"CD2BP2",1.585e-05,0,0,2,0,0,0,4,8,2,3,0.833840535518262,0.451656258340005,0.921598236508906
"FKBP6",1.585e-05,0,0,5,0,0,0,4,4,1,3,0.833840535518262,0.451656258340005,0.921601440409442
"GPD1L",1.585e-05,0,0,0,0,0,0,1,4,3,0,0.833840535518262,0.451656258340005,0.921604643573364
"NSUN4",1.585e-05,0,1,6,2,0,0,2,8,0,0,0.833840535518262,0.451656258340005,0.921607846000926
"RNF8",1.585e-05,0,0,0,1,0,0,1,1,1,1,0.833840535518262,0.451656258340005,0.921611047692383
"ST6GALNAC5",1.585e-05,0,0,1,0,0,0,2,16,2,2,0.833840535518262,0.451656258340005,0.921614248647988
"TMPRSS5",1.585e-05,0,0,6,1,0,0,4,9,1,2,0.833840535518262,0.451656258340005,0.921617448867995
"FAM71E1",1.586e-05,0,0,2,3,0,0,0,4,2,1,0.833745702984274,0.451862289831865,0.921620648979593
"HMBOX1",1.586e-05,0,1,0,0,0,0,1,1,1,0,0.833745702984274,0.451862289831865,0.921623848355955
"PRIM2",1.586e-05,0,1,2,0,0,0,0,4,0,0,0.833745702984274,0.451862289831865,0.921627046997336
"XKR3",1.586e-05,0,0,0,0,0,0,0,0,0,0,0.833745702984274,0.451862289831865,0.921630244903987
"C20orf160",1.587e-05,0,0,0,1,0,0,3,9,2,2,0.833650882179286,0.452123832399253,0.921633442702741
