"Gene","mut.rate","dn.LoF","case.LoF","ctrl.LoF","trans.LoF","ntrans.LoF","dn.mis3","case.mis3","ctrl.mis3","trans.mis3","ntrans.mis3","BF.dn","pval.TADA.dn","qvalue.dn"
"PMAIP1",1.28e-06,0,0,0,0,0,0,0,5,0,0,0.985325932490525,0.0407915665866026,0.732195049741023
"OCLM",1.282e-06,0,0,0,0,0,0,0,0,0,0,0.985303188403923,0.0408449426207633,0.732405155060267
"SLN",1.311e-06,0,0,0,0,0,0,0,1,0,0,0.984973463329994,0.0408983186549239,0.732614856374547
"KRTAP2-1",1.333e-06,0,0,0,0,0,0,0,0,0,0,0.984723407150099,0.0409516946890846,0.732824150378492
"KRTAP2-4",1.347e-06,0,0,0,0,0,0,0,0,0,0,0.984564316452714,0.041004003202562,0.733033033138727
"TMSB15A",1.35e-06,0,0,0,0,0,0,0,0,0,0,0.984530229227413,0.0410573792367227,0.733241498808258
"TMSB15B",1.357e-06,0,0,0,0,0,0,0,0,0,0,0.984450697361748,0.0411102215105418,0.73344955121388
"DNAJC25-GNG10",1.397e-06,0,0,0,0,0,0,1,4,0,0,0.983996363635226,0.0411635975447024,0.733657212796871
"LYRM4",1.41e-06,0,0,2,0,0,0,1,1,0,0,0.983848754298636,0.0412169735788631,0.733864467397948
"POLE4",1.445e-06,0,0,1,0,0,0,0,0,0,3,0.983451464279633,0.0412703496130238,0.734071330332673
"BAGE4",1.504e-06,0,0,0,0,0,0,0,0,0,0,0.982782141889892,0.0413237256471844,0.734277818118207
"BAGE",1.54e-06,0,0,0,0,0,0,0,0,0,0,0.982373985268758,0.0414304777155057,0.734483917162628
"BAGE5",1.54e-06,0,0,0,0,0,0,0,0,0,0,0.982373985268758,0.0414304777155057,0.734689605651184
"OST4",1.55e-06,0,0,0,0,0,0,0,0,0,0,0.982260641162888,0.0414838537496664,0.734894891183736
"ATP5E",1.555e-06,0,0,0,0,0,0,0,0,0,0,0.98220397444567,0.0415372297838271,0.735099771777684
"HTN3",1.562e-06,0,0,3,0,0,0,0,0,2,0,0.982124647016978,0.0415900720576461,0.735304249911323
"PXT1",1.564e-06,0,2,2,2,1,0,0,1,0,0,0.982101983317719,0.0416434480918068,0.735508323605194
"HMHB1",1.59e-06,0,0,0,0,0,0,0,0,1,0,0.981807407002722,0.0416968241259674,0.735712009293864
"CYB561D1",1.594e-06,0,0,0,0,0,0,2,7,0,0,0.981762096102813,0.0417502001601281,0.735915294180309
"KRTAP22-1",1.621e-06,0,0,0,0,0,0,0,1,0,0,0.981456307031902,0.0418035761942888,0.736118194017154
"RMI2",1.646e-06,0,0,0,0,0,0,0,1,0,0,0.981173261398594,0.0418569522284494,0.736320708676088
"TMEM160",1.655e-06,0,0,0,0,0,0,0,0,0,0,0.981071386713028,0.0419097945022685,0.736522829188382
"DEFB121",1.666e-06,0,0,1,0,1,0,0,0,0,1,0.980946888837054,0.0419631705364291,0.73672455798143
"DEFB119",1.683e-06,0,1,0,0,1,0,1,3,1,1,0.980754516837707,0.0420165465705898,0.736925899993364
"RNPC3",1.699e-06,0,0,0,0,0,0,0,4,4,0,0.980573498333231,0.0420699226047505,0.737126855734776
"TARP",1.702e-06,0,0,0,0,0,0,0,2,0,0,0.980539561410727,0.0421232986389111,0.737327418169437
"RPL39L",1.707e-06,0,0,0,1,0,0,1,3,1,1,0.980483002712969,0.0421756071523886,0.737527589712658
"SPHAR",1.717e-06,0,0,0,0,1,0,0,0,0,0,0.980369895965652,0.0422289831865492,0.737727374652488
"CTF1",1.737e-06,0,0,0,0,0,0,0,1,0,0,0.98014372505705,0.0422818254603683,0.737926780392744
"LSM5",1.758e-06,0,0,0,0,0,0,0,1,0,1,0.979906306699837,0.042335201494529,0.738125808670775
"FAM122C",1.781e-06,0,0,0,0,0,0,0,0,0,0,0.97964634886151,0.042388043768348,0.738324461841872
"ACYP1",1.8e-06,0,0,0,0,0,0,0,0,0,0,0.979431657675752,0.0424414198025087,0.738522738504686
"FAM165B",1.812e-06,0,0,0,0,0,0,0,1,0,0,0.979296089618225,0.0424947958366693,0.738720635393751
"SPRN",1.82e-06,0,0,0,0,0,0,0,0,0,0,0.97920572225554,0.04254817187083,0.738918151127358
"RPL39",1.827e-06,0,0,0,0,0,0,0,0,0,0,0.979126658255681,0.0426015479049907,0.739115286197137
"GNG10",1.831e-06,0,0,0,0,0,0,0,0,0,0,0.979081481945681,0.0426549239391513,0.739312039849393
"DEFB110",1.849e-06,0,0,0,2,1,0,0,3,0,1,0.978878216613422,0.042713637576728,0.739508421892538
"KRTAP22-2",1.85e-06,0,0,0,0,0,0,0,0,0,0,0.978866925441265,0.0427670136108887,0.739704422861195
"C2orf83",1.86e-06,0,0,0,0,0,0,0,1,0,0,0.978754021513075,0.0428198558847078,0.73990004944351
"FAM89B",1.872e-06,0,1,0,0,0,0,1,0,0,0,0.978618555501374,0.0428732319188684,0.740095303966365
"TOMM7",1.887e-06,0,0,1,0,0,0,0,2,0,0,0.9784492516727,0.0429255404323459,0.740290189365514
"HTN1",1.892e-06,0,0,3,0,0,0,0,0,0,0,0.978392824145067,0.0429789164665065,0.740484700534238
"DEFB134",1.905e-06,0,0,0,1,0,0,0,2,0,0,0.978246129142439,0.0430322925006672,0.740678843494865
"KRTAP20-1",1.961e-06,0,0,0,0,0,0,0,1,0,0,0.977614485720895,0.0430856685348279,0.74087264581134
"USMG5",1.987e-06,0,0,6,0,0,0,0,1,0,0,0.977321373552192,0.0431390445689885,0.741066089992374
"KRTAP19-2",1.997e-06,0,0,0,0,0,0,0,5,0,0,0.977208663563668,0.0431918868428076,0.741259167235953
"SPANXN4",2.003e-06,0,0,0,0,0,0,0,0,0,0,0.977141044358853,0.0432452628769682,0.741451876145913
"MT1A",2.016e-06,0,0,1,0,0,0,0,0,1,0,0.976994553545193,0.0432986389111289,0.741644222079016
"LYRM7",2.023e-06,0,0,0,0,0,0,0,0,0,0,0.976915683773438,0.0433520149452896,0.741836202405114
"ATP6V1G3",2.034e-06,0,0,1,1,0,0,0,4,0,1,0.976791759556096,0.0434053909794502,0.742027820625667
"CCDC23",2.042e-06,0,0,0,0,0,0,2,2,0,0,0.976701643595262,0.0434582332532693,0.742219075948247
"PLN",2.073e-06,0,0,0,0,1,0,0,0,0,0,0.976352529674458,0.0435116092874299,0.742409983461582
"C10orf113",2.075e-06,0,0,1,1,0,0,0,2,0,1,0.976330010858359,0.0435649853215906,0.742600526471708
"MAP6D1",2.085e-06,0,0,0,0,0,0,1,1,0,0,0.976217425253804,0.0436183613557513,0.742790710899943
"RABGAP1L",2.088e-06,0,0,1,0,0,0,3,15,3,10,0.976183652326924,0.0436717373899119,0.742980533513062
"DEFB107A",2.119e-06,0,0,0,0,0,0,0,0,0,0,0.975834739842774,0.0437784894582333,0.743170012372804
"DEFB107B",2.119e-06,0,0,0,0,0,0,0,0,0,0,0.975834739842774,0.0437784894582333,0.743359129631668
"STATH",2.165e-06,0,0,0,0,0,0,1,0,0,1,0.975317248760687,0.0438852415265546,0.743547914228673
"FXYD2",2.181e-06,0,0,1,0,0,0,0,1,3,2,0.975137321856571,0.0439386175607152,0.743736348929409
"ATP5I",2.187e-06,0,0,1,0,0,0,1,4,0,0,0.975069858578372,0.0439919935948759,0.743924428679545
