"Gene","mut.rate","dn.LoF","case.LoF","ctrl.LoF","trans.LoF","ntrans.LoF","dn.mis3","case.mis3","ctrl.mis3","trans.mis3","ntrans.mis3","BF","pval.TADA","qvalue"
"AIFM3",3.24e-05,0,1,8,0,0,0,5,39,2,7,0.154845979758504,0.969228182546037,0.949382861055297
"TTLL4",4.88e-05,0,2,9,1,1,0,6,41,13,5,0.154780987374661,0.969252735521751,0.949385114347086
"AHI1",3.94e-05,0,2,12,3,2,0,4,20,4,8,0.154671894309181,0.96930237523352,0.949387367766959
"APBB2",3.43e-05,0,0,6,0,0,0,6,18,7,5,0.154546389692473,0.969344008540165,0.949389621371576
"LRP10",3.419e-05,0,0,4,0,2,0,8,22,5,5,0.154499877845395,0.969370696557246,0.949391874888133
"MCM3",3.58e-05,0,0,6,0,0,0,1,20,5,10,0.154074216908881,0.969543101147585,0.94939412962589
"SORBS2",5.28e-05,0,0,5,0,0,0,7,43,9,14,0.154025678155194,0.969559113957833,0.949396384282481
"DDHD2",2.435e-05,0,1,9,1,1,0,4,8,2,1,0.153952204822722,0.969590605817988,0.949398638944016
"ALPK2",7.95e-05,0,3,8,1,2,0,14,36,12,9,0.153800704465148,0.969648785695223,0.949400893879902
"FANCD2",4.97e-05,0,2,9,1,1,0,6,24,9,10,0.153415007826846,0.969798772351214,0.949403149898707
"NKTR",5.2e-05,0,0,5,0,0,0,7,23,3,9,0.15339919620244,0.969811048839071,0.949405405723244
"SLC15A1",2.993e-05,0,0,6,1,2,0,3,11,9,4,0.153325978471481,0.969835068054444,0.949407661551733
"TMEM8A",4.55e-05,0,1,6,0,1,0,6,27,5,6,0.153097868648432,0.969928476114225,0.949409917918901
"DOPEY2",0.0001053,0,2,10,4,2,0,19,79,15,15,0.153095498146091,0.969929009874566,0.949412174045398
"LCMT2",4.08e-05,0,1,9,1,0,0,9,13,7,4,0.153052536861808,0.969947691486523,0.949414430071379
"FRY",0.000121,0,1,1,1,4,0,7,46,6,7,0.152867973534529,0.970019215372298,0.949416686485642
"PDE12",3.55e-05,0,0,6,0,0,0,1,4,2,0,0.152779386320239,0.970050707232453,0.949418942956857
"STEAP3",2.964e-05,0,1,8,0,0,0,4,26,13,9,0.152668486217857,0.970096610621831,0.949421199562033
"CCDC37",3.04e-05,0,0,8,1,0,0,2,20,5,5,0.152453867583726,0.970184147317854,0.949423456659126
"USP25",3.55e-05,0,0,5,0,1,0,6,23,11,8,0.15240212262925,0.970201227648786,0.949425713685951
"WDR41",1.636e-05,0,0,3,1,6,0,4,18,8,2,0.152200063764368,0.970267947691486,0.949427971161272
"COL15A1",6.13e-05,0,3,9,1,2,0,10,51,15,8,0.152191717547906,0.970270082732853,0.949430228416529
"FAM111B",2.543e-05,0,2,7,0,3,0,1,4,3,1,0.152162730884846,0.970283960501735,0.949432485522983
"CELSR1",0.000187555,0,0,1,1,0,0,26,79,20,30,0.152002294860733,0.970350146784094,0.949434742934244
"RAD50",4.54e-05,0,2,10,2,2,0,8,27,5,9,0.151988090215171,0.970354416866827,0.949437000145699
"FDXR",2.615e-05,0,1,9,1,1,0,6,29,3,5,0.151932702466968,0.970369362156392,0.949439257299475
"REEP5",8.5e-06,0,0,8,0,0,0,3,7,1,0,0.15188169926503,0.970382706164932,0.949441514380457
"FAM184A",3.549e-05,0,3,10,0,1,0,4,24,5,6,0.151868724676447,0.97038857752869,0.949443771257458
"NEK4",2.664e-05,0,3,13,2,2,0,2,15,4,4,0.151805800900018,0.970417400587136,0.949446028102829
