"Gene","mut.rate","dn.LoF","case.LoF","ctrl.LoF","trans.LoF","ntrans.LoF","dn.mis3","case.mis3","ctrl.mis3","trans.mis3","ntrans.mis3"
"ACCS","2.096e-05","0","0","1","0","0","0","4","9","3","3"
"ACCSL","2.228e-05","0","2","5","0","0","0","3","10","0","1"
"ACD","3.15e-05","0","1","3","0","2","0","2","14","1","0"
"ACE","6.21e-05","0","3","6","0","0","0","14","53","18","20"
"ACE2","2.701e-05","0","0","0","0","0","0","0","4","0","0"
"ACER1","1.28e-05","0","0","0","0","0","0","2","16","5","4"
"ACER2","1.196e-05","0","1","2","0","0","1","0","5","2","2"
"ACER3","7.65e-06","0","1","2","0","0","0","1","2","0","1"
"ACHE","3.61e-05","0","0","1","0","0","1","3","19","0","1"
"ACIN1","5.95e-05","0","2","4","0","0","0","4","35","7","6"
"ACLY","5.37e-05","0","1","4","1","0","1","7","20","9","9"
"ACMSD","1.395e-05","0","0","1","0","0","0","2","11","1","2"
"ACN9","7e-06","0","0","0","0","0","0","2","7","1","0"
"ACO1","3.64e-05","0","4","8","1","2","0","5","36","8","10"
"ACO2","3.91e-05","0","0","2","1","0","0","2","7","2","1"
"ACOT1","2.414e-05","0","0","2","0","0","0","0","0","0","0"
"ACOT11","3.39e-05","0","1","3","0","1","0","5","16","9","2"
"ACOT12","2.178e-05","0","3","7","2","0","0","8","15","4","5"
"ACOT13","4.64e-06","0","1","5","1","0","0","3","10","1","0"
"ACOT2","2.921e-05","0","0","1","0","0","0","0","1","1","0"
"ACOT4","1.813e-05","0","0","4","0","2","0","0","5","4","3"
"ACOT6","6.6e-06","0","2","1","0","1","0","1","2","0","0"
"ACOT7","2.396e-05","0","0","0","0","0","0","0","6","2","0"
"ACOT8","1.698e-05","0","2","4","1","2","0","0","10","3","5"
"ACOT9","1.662e-05","0","1","1","0","0","0","0","1","0","0"
"ACOX1","2.587e-05","0","0","4","0","1","0","4","14","4","5"
"ACOX2","3.192e-05","0","1","3","0","1","0","4","13","4","3"
"ACOX3","3.43e-05","0","1","2","0","1","0","6","20","7","7"
