"Gene","mut.rate","dn.LoF","case.LoF","ctrl.LoF","trans.LoF","ntrans.LoF","dn.mis3","case.mis3","ctrl.mis3","trans.mis3","ntrans.mis3"
"NMRK1","6.34e-06","0","0","0","0","0","0","0","0","0","0"
"NMS","5.59e-06","0","0","2","0","0","0","0","1","1","0"
"NMT1","2.318e-05","0","0","0","0","0","0","2","5","1","2"
"NMT2","2.214e-05","0","0","2","0","0","0","3","8","1","1"
"NMU","5.13e-06","0","0","1","0","1","0","1","2","0","1"
"NMUR1","2.417e-05","0","1","2","1","1","0","4","5","0","5"
"NMUR2","1.887e-05","0","0","1","1","1","0","6","9","5","2"
"NNAT","5.22e-06","0","0","0","0","0","0","0","1","1","1"
"NNMT","1.094e-05","0","0","0","0","1","0","0","3","1","4"
"NNT","4.06e-05","0","0","1","0","0","0","4","15","2","9"
"NOA1","3.97e-05","0","0","0","0","0","0","0","4","0","0"
"NOB1","2.336e-05","0","0","3","0","0","0","6","14","2","10"
"NOBOX","1.991e-05","0","0","3","0","0","0","5","13","3","1"
"NOC2L","4.19e-05","0","3","9","1","2","1","11","17","8","6"
"NOC3L","2.555e-05","0","1","10","1","3","0","2","7","4","4"
"NOC4L","2.451e-05","0","0","2","1","1","0","4","38","7","9"
"NOD1","4.84e-05","0","1","9","1","3","0","5","13","5","7"
"NOD2","4.82e-05","0","0","3","2","2","0","15","45","15","19"
"NODAL","1.444e-05","0","0","0","0","0","0","0","14","0","0"
"NOG","1.715e-05","0","0","0","0","0","0","0","5","0","2"
"NOL10","2.106e-05","0","1","2","0","1","1","4","23","2","3"
"NOL11","2.605e-05","0","1","1","0","0","0","2","13","0","2"
"NOL12","1.12e-05","0","0","1","0","0","0","1","2","0","0"
"NOL3","1.58e-05","0","0","2","1","2","0","0","3","0","0"
"NOL4","2.91e-05","0","0","0","0","0","0","2","13","2","4"
"NOL6","5.62e-05","1","0","0","0","0","0","11","52","8","11"
"NOL7","7.74e-06","0","0","2","1","1","0","0","2","0","0"
"NOL8","3.59e-05","0","1","7","1","1","0","2","7","4","1"
"NOL9","2.557e-05","0","1","1","0","0","0","6","14","2","0"
"NOLC1","2.563e-05","0","1","3","0","0","0","3","16","2","4"
"NOM1","3.74e-05","0","0","3","1","1","0","7","28","7","8"
"NOMO1","5.72e-05","0","1","2","0","0","0","0","0","0","0"
"NOMO2","5.76e-05","0","1","2","0","0","0","0","1","0","0"
"NOMO3","5.74e-05","0","0","0","0","1","0","0","0","0","0"
"NONO","1.836e-05","0","0","0","0","0","0","0","0","0","0"
"NOP10","3.428e-06","0","0","0","0","0","0","0","1","0","0"
"NOP14","4.23e-05","0","1","0","1","0","1","5","11","6","6"
"NOP16","9.9e-06","0","1","1","1","0","0","3","7","5","2"
"NOP2","3.38e-05","0","0","1","1","1","0","2","11","4","4"
"NOP56","2.637e-05","0","0","0","0","1","0","1","15","1","0"
"NOP58","1.825e-05","0","0","2","0","0","0","1","5","1","0"
"NOS1","7.38e-05","0","0","0","0","0","0","6","42","8","13"
"NOS1AP","1.287e-05","0","0","0","1","0","0","2","4","1","0"
"NOS2","5.18e-05","0","2","10","1","0","0","7","28","8","3"
"NOS3","6.73e-05","0","0","3","0","0","0","7","27","4","6"
"NOSIP","2.12e-05","0","0","3","1","1","0","1","8","0","0"
"NOSTRIN","1.666e-05","0","0","5","0","0","0","3","8","1","1"
"NOTCH1","0.00015884","0","0","0","0","0","0","3","46","15","12"
"NOTCH2","9.99e-05","0","0","0","0","0","0","6","24","11","10"
"NOTCH2NL","9.14e-06","0","0","0","0","0","0","0","0","0","0"
"NOTCH3","0.0001062","0","0","2","0","0","2","17","50","14","8"
"NOTCH4","9.29e-05","0","4","6","1","1","0","11","49","9","13"
"NOTO","1.01e-05","0","0","0","0","0","0","0","0","0","0"
"NOTUM","2.239e-05","0","1","2","0","0","0","3","14","1","3"
"NOV","1.627e-05","0","1","0","0","0","0","3","5","1","4"
"NOVA1","1.715e-05","0","1","1","0","0","0","1","2","2","1"
"NOVA2","2.62e-05","0","0","0","0","0","0","0","1","0","1"
"NOX1","2.054e-05","0","0","2","0","0","0","0","4","0","0"
"NOX3","2.429e-05","0","1","3","0","2","0","6","27","4","9"
"NOX4","1.882e-05","0","0","4","0","0","0","5","9","2","8"
"NOX5","3.7e-05","0","1","11","2","2","0","8","22","6","4"
"NOXA1","1.891e-05","0","1","6","1","0","0","3","6","2","1"
"NOXO1","2.057e-05","0","1","2","0","1","0","1","6","1","1"
"NOXRED1","1.349e-05","0","0","1","0","0","0","1","3","0","0"
"NPAS1","2.97e-05","0","1","2","0","0","0","1","20","1","2"
"NPAS2","3.95e-05","0","0","1","0","0","0","4","8","1","2"
"NPAS3","4.89e-05","0","2","4","0","2","0","0","13","3","3"
"NPAS4","3.45e-05","0","0","0","0","0","0","6","8","3","4"
"NPAT","4.73e-05","0","2","0","0","0","0","9","10","3","8"
"NPB","4.16e-06","0","0","0","0","0","0","1","0","0","0"
"NPBWR1","2.81e-05","1","0","2","1","1","0","1","12","2","3"
"NPBWR2","2.287e-05","0","0","0","0","0","0","4","18","5","3"
"NPC1","5.8e-05","0","1","2","1","0","0","2","19","5","5"
"NPC1L1","6.23e-05","0","1","5","1","2","0","17","38","13","13"
"NPC2","6.27e-06","0","1","3","0","2","0","1","1","0","0"
"NPDC1","1.6e-05","0","0","0","0","0","0","1","6","0","3"
"NPEPL1","2.276e-05","0","0","1","0","0","0","1","7","0","4"
"NPEPPS","3.176e-05","0","0","0","0","1","0","0","4","0","1"
"NPFF","4.61e-06","0","0","2","0","0","0","0","1","0","0"
"NPFFR1","1.284e-05","0","0","0","0","0","0","1","4","0","0"
"NPFFR2","2.159e-05","0","1","4","1","0","0","2","8","3","6"
"NPHP1","2.593e-05","0","2","3","0","0","0","1","15","7","6"
"NPHP3","5.36e-05","0","5","17","2","1","0","11","29","7","16"
"NPHP4","8.07e-05","0","0","7","2","3","0","15","46","15","18"
"NPHS1","7.13e-05","0","6","9","1","2","0","11","32","9","9"
"NPHS2","1.479e-05","0","0","2","0","1","0","3","8","5","3"
"NPIP","1.545e-05","0","0","0","0","0","0","0","0","0","0"
"NPL","8.44e-06","0","2","4","0","2","0","2","13","4","6"
"NPLOC4","2.725e-05","0","0","2","0","0","0","2","6","0","0"
"NPM1","1.016e-05","0","0","0","0","0","0","0","2","1","0"
"NPM2","8.8e-06","0","0","1","0","1","0","3","6","1","2"
"NPM3","1.002e-05","0","0","0","1","0","0","1","0","0","0"
"NPNT","2.161e-05","0","0","10","0","1","0","7","20","7","9"
"NPPA","7.32e-06","0","0","0","0","0","0","0","4","2","1"
"NPPB","7.5e-06","0","0","2","0","0","0","0","3","0","2"
"NPPC","7.3e-06","0","0","0","0","0","0","1","0","0","0"
"NPR1","4.2e-05","0","1","0","1","0","0","4","10","4","4"
"NPR2","4.95e-05","0","0","1","0","0","0","3","10","5","5"
"NPR3","2.767e-05","0","1","2","0","0","0","3","3","3","1"
"NPRL2","1.722e-05","0","1","1","0","0","0","1","10","3","1"
"NPRL3","2.3e-05","0","0","0","0","0","0","1","9","0","4"
"NPS","2.795e-06","0","0","0","0","0","0","0","2","2","1"
"NPSR1","1.452e-05","0","3","3","0","2","0","4","7","6","5"
"NPTN","2.089e-05","0","0","0","0","0","0","2","5","2","0"
"NPTX1","2.291e-05","0","0","0","0","0","0","0","4","4","10"
"NPTX2","1.877e-05","0","0","1","0","0","0","4","13","3","2"
"NPTXR","1.99e-05","0","0","0","0","0","0","2","9","5","2"
"NPVF","6.47e-06","0","0","0","0","0","0","1","2","0","0"
"NPW","6.74e-06","0","0","0","0","0","0","1","4","0","0"
"NPY","5.7e-06","0","0","1","0","0","0","0","0","0","1"
"NPY1R","1.319e-05","0","0","1","0","0","0","1","2","2","0"
"NPY2R","1.461e-05","0","0","2","0","0","0","3","8","2","5"
"NPY5R","1.431e-05","0","1","0","0","0","0","1","9","0","1"
"NQO1","1.052e-05","0","2","4","0","0","0","1","15","2","0"
"NQO2","1.044e-05","0","0","2","2","0","0","1","1","0","2"
"NR0B1","3.1e-05","0","0","0","0","0","0","0","0","0","0"
"NR0B2","1.173e-05","0","0","1","0","1","0","1","2","3","2"
"NR1D1","3.227e-05","0","0","0","0","0","0","6","7","1","3"
"NR1D2","2.035e-05","0","0","2","0","0","0","2","5","5","1"
"NR1H2","2.324e-05","0","0","1","0","0","0","2","14","2","1"
"NR1H3","2.277e-05","0","0","1","1","0","0","5","13","2","4"
"NR1H4","1.776e-05","0","0","0","0","0","0","3","4","2","2"
"NR1I2","1.85e-05","0","2","0","0","0","0","1","6","2","5"
"NR1I3","1.47e-05","0","2","2","2","0","0","3","17","2","4"
"NR2C1","2.064e-05","0","0","0","0","0","0","2","6","4","5"
"NR2C2","2.702e-05","0","0","0","0","0","0","3","0","1","0"
"NR2C2AP","6.3e-06","0","0","3","0","0","0","1","4","1","0"
"NR2E1","2.159e-05","0","0","0","0","0","0","1","2","0","0"
"NR2E3","1.316e-05","0","0","1","0","0","0","1","2","0","6"
"NR2F1","2.593e-05","0","0","0","0","0","2","0","2","0","0"
"NR2F2","2.509e-05","0","0","0","0","0","0","1","1","0","0"
"NR2F6","1.477e-05","0","0","0","0","0","0","2","3","1","2"
"NR3C1","2.658e-05","0","0","0","0","0","0","5","12","1","1"
"NR3C2","3.86e-05","1","1","1","0","0","1","2","4","2","5"
"NR4A1","3.11e-05","0","0","1","0","0","0","5","17","5","7"
"NR4A2","3.27e-05","0","0","0","0","0","1","1","2","0","0"
"NR4A3","2.611e-05","0","0","0","0","0","0","1","5","2","2"
"NR5A1","2.597e-05","0","0","0","0","0","0","0","4","1","0"
"NR5A2","2.193e-05","0","0","1","1","0","0","3","5","0","0"
"NR6A1","1.914e-05","0","0","1","0","0","0","0","4","2","1"
"NRAP","7.33e-05","0","1","10","3","6","0","12","44","18","28"
"NRARP","1.049e-05","0","0","0","0","0","0","1","0","0","0"
"NRAS","7.03e-06","0","0","0","0","0","0","0","0","0","0"
"NRBF2","9.14e-06","0","1","0","0","0","0","1","0","1","1"
"NRBP1","2.058e-05","0","1","0","0","0","0","0","0","0","0"
"NRBP2","1.379e-05","0","0","1","0","0","0","3","8","1","3"
"NRCAM","4.7e-05","0","0","2","1","2","0","8","31","7","11"
"NRD1","4.44e-05","0","1","3","3","2","0","8","20","5","5"
"NREP","2.696e-06","0","0","0","0","0","0","0","0","0","0"
"NRF1","2.454e-05","0","0","0","0","0","0","0","2","0","1"
"NRG1","1.943e-05","0","2","5","1","0","0","8","27","9","11"
"NRG2","3.36e-05","0","0","0","1","0","0","5","16","2","7"
"NRG3","3.26e-05","0","0","2","0","0","0","2","20","3","2"
"NRG4","4.55e-06","1","0","1","0","0","0","0","2","2","2"
"NRGN","5.66e-06","0","0","0","0","0","0","0","0","0","0"
"NRIP1","3.75e-05","0","0","0","2","0","0","6","21","2","3"
"NRIP2","1.302e-05","0","0","4","0","3","0","2","6","3","3"
"NRIP3","6.78e-06","0","0","1","1","0","0","0","2","2","2"
"NRK","4.85e-05","0","1","0","0","0","0","0","8","0","0"
"NRL","8.31e-06","0","0","0","1","0","0","1","1","1","1"
"NRM","1.049e-05","0","2","0","0","0","0","1","4","1","0"
"NRN1","9.48e-06","0","0","0","0","0","0","0","0","2","0"
"NRN1L","1.021e-05","0","1","2","1","0","0","0","2","1","1"
"NRP1","3.84e-05","0","1","1","0","0","0","6","27","7","6"
"NRP2","4.64e-05","0","0","5","1","0","0","4","19","7","6"
"NRSN1","7.89e-06","0","0","0","0","1","0","1","6","0","1"
"NRSN2","1.088e-05","0","0","2","0","0","0","0","6","1","0"
"NRTN","8.17e-06","0","0","0","0","0","0","0","3","0","0"
"NRXN1","7.4e-05","1","1","2","0","1","1","6","38","6","7"
"NRXN2","8.39e-05","0","2","0","0","0","0","13","40","13","11"
"NRXN3","5.19e-05","0","0","0","0","0","0","7","35","10","15"
"NSA2","9.53e-06","0","0","0","0","0","0","0","4","0","0"
"NSD1","9.96e-05","0","0","0","0","0","1","8","18","4","6"
"NSDHL","1.606e-05","0","0","0","0","0","0","0","1","0","0"
"NSF","2.691e-05","0","0","0","1","0","0","1","2","1","0"
"NSFL1C","1.454e-05","0","1","1","0","0","0","3","4","4","0"
"NSL1","8.88e-06","0","0","7","0","0","0","0","1","1","1"
"NSMAF","3.45e-05","0","3","4","0","3","0","3","16","10","4"
"NSMCE1","1.376e-05","0","1","1","0","0","0","0","7","0","1"
"NSMCE2","8.88e-06","0","0","0","1","0","0","0","3","2","0"
"NSMCE4A","1.045e-05","0","0","1","0","0","0","4","3","0","2"
"NSRP1","1.821e-05","0","0","2","0","0","0","1","9","0","0"
"NSUN2","3.137e-05","0","0","2","0","0","0","6","18","9","6"
"NSUN3","1.153e-05","0","0","1","0","1","0","1","6","0","4"
"NSUN4","1.585e-05","0","1","6","2","0","0","2","8","0","0"
"NSUN5","2.554e-05","0","2","4","0","0","0","4","11","2","3"
"NSUN6","1.546e-05","0","0","4","0","1","0","2","8","2","0"
"NSUN7","1.715e-05","0","3","1","1","0","0","3","7","2","1"
"NT5C","7.8e-06","0","0","2","1","1","0","2","4","0","1"
"NT5C1A","2.179e-05","0","1","1","1","0","0","5","11","2","1"
"NT5C1B","3.28e-05","0","0","1","1","2","0","5","19","5","7"
"NT5C1B-RDH14","3.239e-05","0","1","5","2","1","0","3","9","1","0"
"NT5C2","2.092e-05","0","2","2","1","1","1","1","6","0","0"
"NT5C3","9.67e-06","0","0","3","0","0","0","4","14","2","2"
"NT5C3L","1.335e-05","0","0","1","0","0","0","3","9","5","3"
"NT5DC1","1.649e-05","0","1","2","0","2","0","3","12","2","2"
"NT5DC2","3.184e-05","0","0","3","1","0","1","4","7","8","2"
"NT5DC3","2.032e-05","0","1","1","1","1","0","1","4","0","6"
"NT5E","2.75e-05","0","1","7","1","2","0","0","10","3","4"
"NT5M","1.166e-05","0","1","1","0","0","0","1","6","3","3"
"NTAN1","1.071e-05","0","1","0","0","0","0","0","3","1","0"
"NTF3","1.6e-05","0","0","0","0","0","0","2","3","1","1"
"NTF4","9.51e-06","0","0","0","0","0","0","2","12","1","2"
"NTHL1","1.808e-05","0","2","7","0","1","0","2","8","1","0"
"NTM","1.772e-05","0","0","0","0","0","0","0","5","0","1"
"NTN1","3.02e-05","0","1","0","0","0","0","1","4","1","1"
"NTN3","2.594e-05","0","0","1","0","1","0","6","15","16","5"
"NTN4","2.603e-05","0","1","0","1","0","0","6","11","4","4"
"NTN5","1.6e-05","0","1","1","0","0","0","4","12","2","0"
"NTNG1","2.524e-05","0","0","0","0","0","2","2","7","3","2"
"NTNG2","3.44e-05","0","0","0","0","0","0","1","6","1","1"
"NTPCR","9.74e-06","0","0","1","0","0","0","1","5","1","1"
"NTRK1","3.82e-05","0","1","3","1","0","0","4","20","6","9"
"NTRK2","2.332e-05","0","0","0","0","0","0","1","3","4","4"
"NTRK3","2.922e-05","0","0","3","0","2","0","7","15","11","6"
"NTS","4.95e-06","0","0","1","0","0","0","0","2","0","0"
"NTSR1","3.05e-05","0","0","2","0","0","0","5","14","8","4"
"NTSR2","1.828e-05","0","1","4","2","1","0","2","4","1","1"
"NUAK1","3.236e-05","1","0","1","0","1","0","8","24","5","4"
"NUAK2","3.298e-05","0","1","3","1","0","0","4","15","4","6"
"NUB1","2.44e-05","0","0","1","0","3","0","0","6","2","1"
"NUBP1","1.538e-05","0","1","6","0","0","0","3","18","5","7"
"NUBP2","1.803e-05","0","0","1","0","0","0","1","16","4","5"
"NUBPL","1.304e-05","0","2","1","0","0","0","3","9","4","1"
"NUCB1","2.46e-05","0","1","3","1","1","0","2","16","6","3"
"NUCB2","1.236e-05","0","0","3","0","1","0","2","4","3","1"
"NUCKS1","9.63e-06","0","0","0","0","0","0","1","2","0","0"
"NUDC","1.373e-05","0","0","1","0","1","0","1","5","3","0"
"NUDCD1","2.041e-05","0","2","4","0","0","0","3","9","3","3"
"NUDCD2","7.94e-06","0","0","3","1","0","0","0","0","1","0"
"NUDCD3","1.654e-05","0","0","0","0","0","0","2","9","1","1"
"NUDT1","8.98e-06","0","0","3","0","0","0","4","11","0","4"
"NUDT10","1.186e-05","0","0","0","0","0","0","0","0","0","0"
"NUDT11","1.208e-05","0","0","0","0","0","0","0","0","0","0"
"NUDT12","1.414e-05","0","2","2","1","1","0","5","7","6","2"
"NUDT13","1.244e-05","0","1","2","0","1","0","2","9","1","5"
"NUDT14","1.064e-05","0","0","0","0","2","0","5","12","4","3"
"NUDT15","7.26e-06","0","1","3","0","0","0","0","0","0","0"
"NUDT16","1.227e-05","0","0","0","1","0","0","0","6","2","0"
"NUDT16L1","1.381e-05","0","0","1","0","0","0","1","6","2","0"
"NUDT17","1.285e-05","0","1","0","0","0","0","2","4","1","0"
"NUDT18","1.326e-05","0","0","1","1","1","0","2","4","2","3"
"NUDT19","1.894e-05","0","0","1","1","0","0","3","6","5","6"
"NUDT2","5.31e-06","0","0","0","0","1","0","1","0","0","5"
"NUDT21","9.17e-06","0","0","1","0","0","0","0","0","0","0"
"NUDT22","1.608e-05","0","0","3","1","1","0","3","3","3","0"
"NUDT3","8.86e-06","0","0","0","0","0","0","2","3","1","0"
"NUDT4","5.5e-06","0","0","0","0","0","0","0","0","0","0"
"NUDT5","9.98e-06","0","0","1","0","0","0","1","12","2","2"
"NUDT6","1.578e-05","1","0","5","2","2","0","1","9","2","3"
"NUDT7","5.86e-06","0","0","5","3","0","0","0","9","4","3"
"NUDT8","8.46e-06","0","1","6","0","0","0","1","0","0","0"
"NUDT9","1.432e-05","0","1","1","1","1","0","0","0","1","0"
"NUF2","1.613e-05","0","0","5","1","0","0","5","9","0","1"
"NUFIP1","2.128e-05","0","0","0","0","0","0","2","16","3","3"
"NUFIP2","2.383e-05","0","0","0","0","0","0","1","6","1","2"
"NUMA1","9.5e-05","0","0","2","0","0","0","16","34","25","20"
"NUMB","2.626e-05","0","1","1","0","0","0","3","11","5","7"
"NUMBL","2.588e-05","0","0","0","0","0","0","0","5","1","0"
"NUP107","3.295e-05","0","1","2","1","1","0","4","8","2","2"
"NUP133","4.36e-05","0","1","3","0","1","0","2","12","1","5"
"NUP153","5.01e-05","0","0","1","0","0","0","2","23","8","9"
"NUP155","4.85e-05","0","1","3","0","2","0","7","16","4","3"
"NUP160","5.65e-05","0","1","5","0","0","0","5","34","3","7"
"NUP188","7.1e-05","0","2","6","0","1","1","10","42","15","9"
"NUP205","7.44e-05","0","1","2","0","1","0","9","42","7","14"
"NUP210","0.0001008","0","2","8","0","2","0","15","66","13","10"
"NUP210L","6.7e-05","0","0","5","1","0","0","7","17","7","10"
"NUP214","8.04e-05","0","1","2","1","0","0","17","58","19","17"
"NUP35","1.143e-05","0","1","2","0","0","0","2","5","2","1"
"NUP37","1.139e-05","0","0","0","0","0","0","0","5","1","2"
"NUP43","1.373e-05","0","1","4","0","0","0","1","1","2","2"
"NUP50","1.858e-05","0","0","0","1","0","0","1","0","1","4"
"NUP54","1.779e-05","0","0","0","0","0","0","3","2","1","0"
"NUP62","2.761e-05","0","0","0","0","0","0","2","4","3","2"
"NUP62CL","6.23e-06","0","0","0","0","0","0","0","1","0","0"
"NUP85","2.91e-05","0","0","0","0","0","0","5","7","4","3"
"NUP88","3.28e-05","0","0","2","2","0","0","5","26","5","8"
"NUP93","3.26e-05","0","0","5","1","1","0","3","9","1","2"
"NUP98","6.56e-05","0","0","0","1","0","0","9","34","12","16"
"NUPL1","2.15e-05","0","0","0","0","0","0","2","11","4","4"
"NUPL2","1.412e-05","0","0","5","2","3","0","0","5","3","2"
"NUPR1","5.15e-06","0","1","3","0","0","0","1","8","1","2"
"NUS1","9.2e-06","0","0","0","0","0","0","0","0","0","0"
"NUSAP1","1.572e-05","0","0","2","1","0","0","2","14","4","1"
"NUTF2","5.78e-06","0","0","0","0","0","0","0","0","0","0"
"NVL","3.179e-05","0","5","7","0","1","0","4","11","3","2"
"NWD1","6.53e-05","0","3","8","1","2","0","9","46","16","14"
"NXF1","1.569e-05","0","0","0","0","0","0","1","8","3","2"
"NXF2","2.703e-05","0","0","0","0","0","0","0","0","0","0"
"NXF2B","2.703e-05","0","0","0","0","0","0","0","0","0","0"
"NXF3","2.036e-05","0","0","0","0","0","0","1","0","0","0"
"NXF5","1.434e-05","0","0","0","0","0","0","1","2","0","0"
"NXN","2.541e-05","0","0","0","0","0","0","2","18","3","4"
"NXNL1","1.048e-05","0","0","1","1","0","0","1","12","1","0"
"NXNL2","9.79e-06","0","0","0","0","1","0","0","6","0","0"
"NXPH1","1.038e-05","0","0","1","0","0","0","0","2","2","0"
"NXPH2","1.037e-05","0","0","0","0","0","0","1","3","1","1"
"NXPH3","1.236e-05","0","0","0","0","0","0","4","8","3","3"
"NXPH4","1.868e-05","0","0","2","0","0","0","2","5","1","2"
"NXT1","6.21e-06","0","0","0","0","0","0","0","1","0","0"
"NXT2","7.25e-06","0","0","0","0","0","0","0","1","0","0"
"NYAP1","3.91e-05","0","0","0","0","0","0","0","9","0","0"
"NYAP2","3.67e-05","0","0","0","0","0","0","2","7","0","0"
"NYNRIN","8.03e-05","0","2","2","1","0","0","7","41","7","10"
"NYX","1.958e-05","0","0","0","0","0","0","0","1","0","0"
"O3FAR1","2.444e-05","0","0","2","0","0","0","1","7","0","2"
"OAF","1.335e-05","0","0","0","0","0","1","2","10","0","1"
"OAS1","1.708e-05","0","2","8","0","0","0","2","14","4","3"
"OAS2","2.833e-05","0","2","5","3","2","0","4","22","4","9"
"OAS3","5.03e-05","0","0","5","1","2","0","4","30","7","5"
"OASL","2.183e-05","0","0","5","2","1","0","1","3","7","4"
"OAT","1.729e-05","0","0","1","0","0","0","3","7","1","4"
"OAZ1","9.05e-06","0","0","0","0","0","0","1","4","0","0"
"OAZ2","7.57e-06","0","0","0","0","0","0","0","1","0","1"
"OAZ3","9.57e-06","0","1","0","1","1","0","2","4","1","1"
"OBFC1","1.352e-05","0","0","0","0","0","0","0","3","3","0"
"OBFC2A","8.59e-06","0","1","0","0","0","0","1","1","1","2"
"OBFC2B","9.49e-06","0","0","0","0","0","0","0","0","0","0"
"OBP2A","9.59e-06","0","0","3","0","0","0","0","7","2","0"
"OBP2B","8.61e-06","0","1","2","1","1","0","0","8","0","1"
"OBSCN","0.000384304","0","10","34","12","7","0","95","381","106","83"
"OBSL1","9.71e-05","0","3","9","1","1","1","17","72","20","13"
"OC90","1.582e-05","0","2","3","2","0","0","4","11","2","2"
"OCA2","4.34e-05","0","1","1","2","1","0","5","36","8","5"
"OCEL1","1.555e-05","0","1","2","1","1","0","1","12","0","5"
"OCIAD1","7.78e-06","0","0","4","1","1","0","1","4","1","2"
"OCIAD2","5.15e-06","0","1","0","0","1","0","0","2","2","3"
"OCLM","1.282e-06","0","0","0","0","0","0","0","0","0","0"
"OCLN","1.89e-05","0","0","5","0","0","0","1","8","0","2"
"OCM","5.14e-06","0","1","0","2","0","0","0","2","0","0"
"OCM2","5.09e-06","0","0","0","0","0","0","0","1","1","0"
"OCRL","3.336e-05","0","0","0","0","0","0","0","3","0","0"
"ODAM","8.55e-06","0","0","3","1","2","0","1","1","1","0"
"ODC1","2.088e-05","0","0","0","1","0","0","0","2","2","0"
"ODF1","1.123e-05","0","0","0","0","0","0","0","5","6","1"
"ODF2","3.81e-05","0","1","4","0","0","0","6","28","12","8"
"ODF2L","1.865e-05","0","4","14","0","4","0","5","17","1","5"
"ODF3","1.15e-05","0","1","0","0","0","0","6","4","2","2"
"ODF3B","1.208e-05","0","0","1","0","0","0","1","2","0","0"
"ODF3L1","1.369e-05","0","1","1","0","0","0","4","10","0","2"
"ODF3L2","1.061e-05","0","0","1","0","0","0","4","7","0","1"
"ODF4","9.98e-06","0","0","0","0","1","0","3","4","1","0"
"ODZ1","0.0001064","0","0","1","0","0","0","0","7","0","0"
"ODZ2","0.0001219","0","0","2","1","0","0","17","63","18","17"
"ODZ3","0.000125","0","1","1","0","0","0","17","69","12","13"
"ODZ4","9.87e-05","0","1","0","1","0","0","19","99","10","24"
"OFD1","3.66e-05","0","0","2","0","0","0","0","1","0","0"
"OGDH","5.34e-05","0","0","0","0","0","0","4","9","1","1"
"OGDHL","5.35e-05","0","1","10","0","1","0","6","29","9","11"
"OGFOD1","2.015e-05","0","1","2","3","0","0","2","18","2","2"
"OGFOD2","1.82e-05","0","0","6","0","0","0","4","22","14","8"
"OGFR","3.008e-05","0","1","1","1","0","0","3","9","2","1"
"OGFRL1","1.543e-05","0","1","1","0","0","0","3","5","1","0"
"OGG1","1.68e-05","0","1","4","0","1","0","4","8","6","2"
"OGN","1.081e-05","0","0","0","0","0","0","0","3","2","1"
"OGT","4.12e-05","0","0","0","0","0","0","0","0","0","0"
"OIP5","1.336e-05","0","2","1","0","1","0","0","6","0","1"
"OIT3","2.701e-05","0","1","2","0","0","0","7","8","6","1"
"OLA1","1.284e-05","0","1","1","0","1","0","2","3","2","2"
"OLAH","8.55e-06","0","1","2","2","0","0","1","9","4","1"
"OLFM1","2.632e-05","0","0","1","0","0","0","3","7","1","2"
"OLFM2","2.867e-05","0","0","0","0","0","0","1","4","1","3"
"OLFM3","1.62e-05","0","0","0","0","0","0","0","7","0","3"
"OLFM4","1.974e-05","0","1","3","1","0","0","2","9","1","1"
"OLFML1","1.464e-05","0","0","1","0","1","0","6","10","0","0"
"OLFML2A","3.69e-05","0","0","5","1","0","0","9","46","16","11"
"OLFML2B","3.91e-05","0","0","4","0","0","0","6","22","7","5"
"OLFML3","1.778e-05","0","0","0","0","2","0","5","13","3","4"
"OLIG1","4.79e-06","0","0","0","0","0","0","0","0","0","0"
"OLIG2","1.428e-05","0","0","0","0","0","0","0","1","0","0"
"OLIG3","1.949e-05","0","0","0","0","0","0","1","6","1","1"
"OLR1","9.55e-06","0","0","0","2","0","0","0","2","1","2"
"OMA1","1.725e-05","0","0","1","0","0","0","2","9","1","0"
"OMD","1.338e-05","0","0","2","0","0","0","2","7","2","2"
"OMG","1.368e-05","0","0","0","0","0","0","2","5","2","1"
"OMP","1.049e-05","0","0","0","0","1","0","1","3","3","4"
"ONECUT1","3e-05","0","0","0","1","0","0","4","7","2","1"
"ONECUT2","3.17e-05","0","0","0","0","0","0","2","10","2","1"
"ONECUT3","4.84e-06","0","0","0","0","0","0","1","1","0","0"
"OOEP","8.15e-06","0","0","1","0","1","0","2","1","0","0"
"OPA1","3.592e-05","0","0","2","0","0","0","3","16","6","7"
"OPA3","1.417e-05","0","1","0","0","0","0","1","4","1","3"
"OPALIN","5.76e-06","0","0","1","1","0","0","0","5","2","1"
"OPCML","1.627e-05","0","0","0","0","0","0","0","6","0","0"
"OPHN1","3.045e-05","0","0","0","0","0","0","0","2","0","0"
"OPLAH","7.33e-05","0","0","6","0","1","1","12","38","7","8"
"OPN1LW","1.868e-05","0","0","0","0","0","0","0","1","0","0"
"OPN1MW","1.856e-05","0","0","0","0","0","0","0","0","0","0"
"OPN1MW2","1.856e-05","0","0","0","0","0","0","0","0","0","0"
"OPN1SW","1.671e-05","0","1","0","1","2","0","3","14","2","1"
"OPN3","1.793e-05","0","0","0","0","0","0","4","12","3","2"
"OPN4","2.466e-05","0","0","2","0","1","0","2","14","3","4"
"OPN5","1.459e-05","0","0","0","0","0","0","0","1","0","1"
"OPRD1","2.588e-05","0","0","0","0","1","0","1","2","0","1"
"OPRK1","2.139e-05","0","0","5","0","0","1","0","6","1","0"
"OPRL1","2.376e-05","0","1","0","0","0","1","4","12","2","4"
"OPRM1","1.15e-05","0","3","4","0","0","0","9","25","3","4"
"OPTC","1.605e-05","0","0","2","0","0","0","1","3","3","2"
"OPTN","2.096e-05","0","1","2","2","1","0","0","8","2","0"
"OR10A2","1.06e-05","0","1","2","0","1","0","1","2","3","1"
